msoa,chargepoints
E02000215,7
E02000216,5
E02000217,9
E02000218,2
E02000219,1
E02000220,14
E02000221,4
E02000222,0
E02000223,2
E02000224,5
E02000225,1
E02000226,0
E02000227,0
E02000228,1
E02000229,0
E02000230,8
E02000231,1
E02000232,0
E02000233,3
E02000234,6
E02000235,2
E02000236,0
E02000237,1
E02000238,0
E02000239,1
E02000240,0
E02000241,0
E02000242,0
E02000243,10
E02000244,6
E02000245,3
E02000246,2
E02000247,0
E02000248,17
E02000249,0
E02000250,3
E02000251,0
E02000252,9
E02000253,0
E02000254,3
E02000255,2
E02000256,4
E02000257,7
E02000258,5
E02000259,3
E02000260,6
E02000261,4
E02000262,9
E02000263,0
E02000264,10
E02000265,8
E02000266,20
E02000267,1
E02000268,7
E02000269,10
E02000270,4
E02000271,22
E02000272,13
E02000274,3
E02000275,2
E02000276,0
E02000277,0
E02000278,5
E02000279,2
E02000280,4
E02000281,0
E02000282,2
E02000283,0
E02000284,0
E02000285,0
E02000286,0
E02000287,3
E02000288,0
E02000289,1
E02000290,0
E02000291,5
E02000292,8
E02000293,0
E02000294,1
E02000295,0
E02000296,9
E02000297,0
E02000298,2
E02000299,0
E02000300,3
E02000301,11
E02000302,0
E02000303,1
E02000304,1
E02000305,4
E02000306,2
E02000307,4
E02000308,11
E02000309,29
E02000311,7
E02000312,10
E02000313,0
E02000314,6
E02000315,7
E02000316,14
E02000317,3
E02000318,3
E02000319,0
E02000320,2
E02000321,0
E02000323,14
E02000324,6
E02000326,9
E02000327,7
E02000328,3
E02000329,6
E02000331,4
E02000332,6
E02000333,1
E02000334,3
E02000335,5
E02000337,5
E02000339,1
E02000340,4
E02000341,1
E02000342,0
E02000343,0
E02000344,6
E02000345,5
E02000346,0
E02000347,4
E02000348,3
E02000350,1
E02000351,4
E02000352,6
E02000353,8
E02000354,1
E02000355,13
E02000356,4
E02000357,2
E02000358,4
E02000359,6
E02000360,2
E02000361,2
E02000362,10
E02000363,3
E02000364,9
E02000365,10
E02000366,11
E02000367,12
E02000368,3
E02000369,2
E02000370,1
E02000371,14
E02000372,34
E02000373,51
E02000374,24
E02000375,61
E02000376,14
E02000377,22
E02000378,17
E02000379,32
E02000380,30
E02000381,43
E02000382,13
E02000383,30
E02000384,32
E02000385,31
E02000386,8
E02000387,14
E02000388,21
E02000389,39
E02000390,15
E02000391,38
E02000392,29
E02000393,19
E02000394,14
E02000395,65
E02000396,25
E02000397,2
E02000398,1
E02000400,3
E02000401,2
E02000402,1
E02000403,2
E02000404,3
E02000405,2
E02000406,0
E02000407,0
E02000408,4
E02000409,4
E02000410,3
E02000411,0
E02000412,12
E02000413,0
E02000414,0
E02000415,4
E02000416,0
E02000417,8
E02000418,5
E02000419,3
E02000420,10
E02000421,4
E02000422,0
E02000423,2
E02000424,0
E02000425,1
E02000426,1
E02000427,0
E02000428,2
E02000429,7
E02000430,3
E02000431,3
E02000432,3
E02000433,3
E02000434,3
E02000435,0
E02000436,0
E02000437,4
E02000438,1
E02000439,0
E02000440,0
E02000441,1
E02000442,0
E02000443,0
E02000444,0
E02000445,3
E02000447,0
E02000448,1
E02000449,0
E02000451,0
E02000452,4
E02000453,13
E02000454,0
E02000455,3
E02000456,6
E02000457,4
E02000459,4
E02000460,1
E02000461,5
E02000462,2
E02000463,0
E02000464,0
E02000465,2
E02000466,0
E02000467,0
E02000468,0
E02000469,0
E02000470,9
E02000471,1
E02000472,0
E02000473,0
E02000474,0
E02000475,1
E02000476,2
E02000477,0
E02000478,0
E02000479,1
E02000480,3
E02000481,0
E02000482,0
E02000483,1
E02000484,0
E02000485,1
E02000486,1
E02000487,0
E02000488,2
E02000489,0
E02000490,0
E02000491,7
E02000492,0
E02000493,3
E02000494,1
E02000495,4
E02000496,0
E02000497,1
E02000498,0
E02000499,0
E02000500,2
E02000501,0
E02000502,1
E02000503,1
E02000504,2
E02000506,2
E02000507,0
E02000508,8
E02000509,14
E02000510,3
E02000511,1
E02000512,0
E02000513,2
E02000514,1
E02000515,4
E02000516,0
E02000517,0
E02000518,0
E02000519,4
E02000520,6
E02000521,0
E02000522,3
E02000523,20
E02000524,63
E02000525,17
E02000526,34
E02000528,36
E02000529,5
E02000530,9
E02000531,11
E02000532,38
E02000533,17
E02000534,2
E02000535,5
E02000536,6
E02000537,7
E02000538,6
E02000539,10
E02000540,0
E02000541,7
E02000542,7
E02000543,12
E02000544,3
E02000545,6
E02000546,0
E02000547,4
E02000548,4
E02000549,3
E02000550,8
E02000551,5
E02000552,0
E02000553,5
E02000554,9
E02000555,6
E02000556,6
E02000557,5
E02000558,9
E02000559,6
E02000560,1
E02000561,13
E02000562,6
E02000563,2
E02000564,3
E02000565,7
E02000566,2
E02000567,11
E02000568,11
E02000569,13
E02000570,17
E02000571,9
E02000572,5
E02000573,17
E02000574,18
E02000575,28
E02000576,18
E02000577,15
E02000578,18
E02000579,39
E02000580,28
E02000581,19
E02000582,32
E02000583,54
E02000584,29
E02000585,39
E02000586,36
E02000587,33
E02000588,53
E02000589,17
E02000590,22
E02000591,20
E02000592,39
E02000593,33
E02000594,36
E02000595,35
E02000596,27
E02000597,16
E02000598,2
E02000599,3
E02000600,3
E02000601,0
E02000602,7
E02000603,0
E02000604,9
E02000605,3
E02000606,17
E02000607,0
E02000608,6
E02000609,2
E02000610,4
E02000611,0
E02000612,0
E02000613,0
E02000614,7
E02000615,5
E02000616,0
E02000617,3
E02000619,7
E02000620,20
E02000621,8
E02000622,9
E02000623,2
E02000624,7
E02000625,14
E02000626,4
E02000627,8
E02000628,7
E02000629,9
E02000630,9
E02000631,20
E02000632,11
E02000633,4
E02000634,0
E02000635,10
E02000636,21
E02000637,14
E02000638,8
E02000639,4
E02000640,16
E02000641,5
E02000642,8
E02000643,13
E02000644,9
E02000645,12
E02000646,6
E02000647,8
E02000648,5
E02000649,15
E02000650,10
E02000651,6
E02000652,2
E02000653,2
E02000654,0
E02000655,3
E02000657,2
E02000658,0
E02000659,0
E02000660,0
E02000661,1
E02000662,3
E02000663,0
E02000664,21
E02000665,3
E02000666,0
E02000667,0
E02000668,0
E02000669,2
E02000670,0
E02000671,0
E02000672,10
E02000673,9
E02000674,2
E02000675,0
E02000676,0
E02000677,4
E02000678,0
E02000679,4
E02000680,0
E02000681,0
E02000682,1
E02000683,3
E02000685,2
E02000686,5
E02000687,0
E02000689,10
E02000690,17
E02000691,9
E02000692,5
E02000693,11
E02000694,14
E02000695,11
E02000696,6
E02000697,12
E02000698,7
E02000699,10
E02000700,7
E02000701,3
E02000702,3
E02000703,2
E02000704,13
E02000705,5
E02000706,5
E02000707,6
E02000708,7
E02000709,7
E02000710,3
E02000711,7
E02000712,6
E02000713,5
E02000714,0
E02000715,0
E02000716,0
E02000717,0
E02000718,0
E02000719,0
E02000720,0
E02000721,0
E02000722,0
E02000723,0
E02000724,0
E02000725,5
E02000726,56
E02000727,0
E02000728,0
E02000729,0
E02000730,0
E02000731,0
E02000732,0
E02000733,0
E02000734,0
E02000735,1
E02000736,5
E02000737,0
E02000738,0
E02000739,0
E02000740,0
E02000741,8
E02000742,2
E02000743,1
E02000744,1
E02000745,0
E02000746,14
E02000747,35
E02000748,0
E02000749,9
E02000750,5
E02000751,1
E02000752,0
E02000753,0
E02000754,0
E02000755,0
E02000756,4
E02000757,9
E02000758,0
E02000759,11
E02000760,0
E02000762,2
E02000763,6
E02000764,16
E02000765,2
E02000767,1
E02000768,6
E02000769,0
E02000770,0
E02000772,8
E02000773,1
E02000774,0
E02000776,0
E02000777,10
E02000779,0
E02000780,8
E02000781,0
E02000782,0
E02000783,1
E02000784,33
E02000785,45
E02000786,46
E02000787,29
E02000788,32
E02000789,8
E02000790,12
E02000791,4
E02000792,12
E02000793,4
E02000794,3
E02000795,9
E02000796,2
E02000797,20
E02000798,12
E02000799,19
E02000800,2
E02000801,15
E02000802,6
E02000803,0
E02000804,16
E02000805,17
E02000806,10
E02000807,4
E02000808,18
E02000809,10
E02000810,19
E02000812,17
E02000813,17
E02000814,6
E02000815,4
E02000816,9
E02000817,3
E02000818,10
E02000819,1
E02000820,16
E02000821,8
E02000822,6
E02000823,4
E02000824,6
E02000825,3
E02000826,11
E02000827,15
E02000828,9
E02000829,12
E02000830,23
E02000831,8
E02000832,12
E02000833,7
E02000834,27
E02000835,12
E02000836,34
E02000837,44
E02000838,8
E02000839,7
E02000840,0
E02000841,5
E02000842,6
E02000843,0
E02000844,1
E02000845,0
E02000846,0
E02000847,0
E02000848,4
E02000849,2
E02000850,1
E02000851,21
E02000852,0
E02000853,2
E02000854,3
E02000855,1
E02000856,2
E02000857,7
E02000858,0
E02000859,4
E02000860,3
E02000861,1
E02000863,0
E02000864,3
E02000865,3
E02000866,6
E02000867,0
E02000868,1
E02000869,1
E02000870,0
E02000871,2
E02000872,3
E02000873,0
E02000874,0
E02000875,0
E02000876,3
E02000877,1
E02000878,5
E02000879,5
E02000880,0
E02000881,0
E02000882,0
E02000883,1
E02000884,2
E02000885,3
E02000886,0
E02000887,8
E02000888,1
E02000889,0
E02000890,5
E02000891,9
E02000893,0
E02000894,0
E02000895,1
E02000896,1
E02000897,6
E02000898,0
E02000899,0
E02000900,1
E02000901,4
E02000902,6
E02000903,3
E02000904,10
E02000905,12
E02000906,7
E02000907,3
E02000908,14
E02000909,13
E02000910,14
E02000911,8
E02000912,2
E02000913,37
E02000914,10
E02000915,5
E02000916,15
E02000917,6
E02000918,13
E02000919,11
E02000920,10
E02000921,6
E02000922,13
E02000923,9
E02000924,9
E02000925,6
E02000926,24
E02000927,29
E02000928,23
E02000929,3
E02000930,21
E02000931,121
E02000932,63
E02000933,12
E02000934,9
E02000935,6
E02000936,13
E02000937,30
E02000938,5
E02000939,51
E02000940,20
E02000941,18
E02000942,15
E02000943,22
E02000944,3
E02000945,10
E02000946,18
E02000947,14
E02000948,7
E02000949,14
E02000950,2
E02000951,12
E02000952,8
E02000953,9
E02000954,8
E02000955,4
E02000956,7
E02000957,3
E02000958,3
E02000959,9
E02000960,52
E02000961,82
E02000962,32
E02000963,76
E02000964,92
E02000965,72
E02000966,99
E02000967,24
E02000968,27
E02000969,23
E02000970,87
E02000971,43
E02000972,58
E02000973,76
E02000974,29
E02000975,25
E02000976,44
E02000977,55
E02000978,90
E02000979,31
E02000980,17
E02000981,32
E02000982,16
E02000983,23
E02000984,0
E02000985,0
E02000986,0
E02000987,3
E02000988,0
E02000989,0
E02000990,6
E02000991,0
E02000992,0
E02000993,0
E02000994,0
E02000995,0
E02000996,0
E02000997,0
E02000998,0
E02000999,22
E02001000,0
E02001001,0
E02001002,2
E02001003,0
E02001004,6
E02001005,0
E02001006,0
E02001007,2
E02001008,0
E02001009,0
E02001010,0
E02001011,1
E02001012,0
E02001013,0
E02001014,2
E02001015,0
E02001016,0
E02001017,0
E02001018,0
E02001019,3
E02001020,0
E02001021,0
E02001022,0
E02001023,0
E02001024,0
E02001025,3
E02001026,8
E02001027,0
E02001028,0
E02001029,8
E02001030,0
E02001031,1
E02001032,0
E02001033,2
E02001034,0
E02001035,0
E02001036,0
E02001037,0
E02001038,1
E02001039,0
E02001040,5
E02001041,0
E02001042,0
E02001043,0
E02001044,0
E02001045,0
E02001046,2
E02001047,0
E02001048,4
E02001049,0
E02001050,0
E02001051,0
E02001052,4
E02001053,0
E02001055,1
E02001056,0
E02001057,2
E02001059,6
E02001061,6
E02001062,2
E02001063,15
E02001064,5
E02001065,0
E02001066,3
E02001067,0
E02001068,0
E02001069,0
E02001070,0
E02001071,0
E02001072,0
E02001073,4
E02001074,1
E02001075,0
E02001076,0
E02001077,4
E02001078,0
E02001079,2
E02001080,3
E02001081,0
E02001082,0
E02001083,0
E02001084,0
E02001085,2
E02001086,0
E02001087,2
E02001088,0
E02001089,15
E02001090,2
E02001091,2
E02001092,1
E02001093,0
E02001094,1
E02001095,0
E02001096,1
E02001097,0
E02001098,0
E02001099,1
E02001100,2
E02001101,0
E02001102,0
E02001103,0
E02001104,0
E02001105,3
E02001106,0
E02001107,0
E02001108,3
E02001109,0
E02001110,0
E02001111,15
E02001112,0
E02001113,2
E02001114,3
E02001115,0
E02001116,0
E02001117,2
E02001118,0
E02001119,2
E02001121,4
E02001123,3
E02001124,0
E02001125,1
E02001126,0
E02001127,0
E02001128,9
E02001129,2
E02001130,0
E02001131,0
E02001132,1
E02001133,0
E02001134,0
E02001135,0
E02001136,0
E02001137,0
E02001138,0
E02001139,0
E02001140,0
E02001141,17
E02001142,0
E02001143,1
E02001144,0
E02001145,0
E02001146,6
E02001147,0
E02001148,2
E02001149,0
E02001150,0
E02001151,2
E02001152,0
E02001153,3
E02001154,0
E02001155,5
E02001156,0
E02001157,0
E02001158,3
E02001159,0
E02001160,0
E02001161,2
E02001162,0
E02001163,4
E02001164,0
E02001165,0
E02001166,0
E02001167,0
E02001168,7
E02001169,0
E02001170,1
E02001171,0
E02001172,5
E02001173,2
E02001174,0
E02001175,1
E02001176,3
E02001177,9
E02001178,22
E02001179,0
E02001180,3
E02001181,0
E02001182,4
E02001183,0
E02001184,23
E02001185,0
E02001186,5
E02001187,0
E02001188,0
E02001189,0
E02001190,0
E02001191,0
E02001192,0
E02001193,12
E02001194,0
E02001195,1
E02001196,0
E02001197,0
E02001198,0
E02001199,0
E02001200,12
E02001201,0
E02001202,0
E02001203,0
E02001204,1
E02001205,1
E02001206,0
E02001207,0
E02001208,0
E02001209,0
E02001210,0
E02001211,0
E02001212,0
E02001213,0
E02001214,0
E02001215,0
E02001216,0
E02001217,0
E02001218,0
E02001219,0
E02001220,0
E02001221,0
E02001222,1
E02001223,0
E02001224,0
E02001225,0
E02001226,0
E02001227,0
E02001228,2
E02001229,0
E02001230,0
E02001231,0
E02001232,0
E02001233,0
E02001234,1
E02001235,0
E02001236,3
E02001237,0
E02001238,0
E02001239,2
E02001240,0
E02001241,9
E02001242,1
E02001243,2
E02001244,0
E02001245,3
E02001246,0
E02001247,0
E02001248,0
E02001249,3
E02001250,0
E02001251,0
E02001252,0
E02001253,0
E02001254,0
E02001255,0
E02001256,1
E02001257,0
E02001258,0
E02001259,0
E02001260,25
E02001261,3
E02001262,0
E02001263,9
E02001264,0
E02001265,0
E02001266,0
E02001267,0
E02001268,0
E02001269,3
E02001270,0
E02001271,1
E02001272,0
E02001273,2
E02001274,0
E02001275,0
E02001276,0
E02001277,2
E02001278,0
E02001279,0
E02001280,0
E02001281,0
E02001282,3
E02001283,3
E02001284,0
E02001285,0
E02001286,0
E02001287,0
E02001288,0
E02001289,0
E02001290,0
E02001291,0
E02001292,6
E02001293,0
E02001294,3
E02001295,0
E02001296,1
E02001297,0
E02001298,0
E02001299,2
E02001300,0
E02001301,3
E02001302,1
E02001303,0
E02001304,0
E02001305,0
E02001306,0
E02001307,0
E02001308,0
E02001309,1
E02001310,0
E02001311,0
E02001312,0
E02001313,2
E02001314,0
E02001315,1
E02001316,20
E02001317,0
E02001318,0
E02001319,0
E02001320,0
E02001321,0
E02001322,0
E02001323,1
E02001324,2
E02001325,0
E02001326,0
E02001327,0
E02001328,0
E02001329,0
E02001330,1
E02001331,2
E02001332,0
E02001333,3
E02001334,0
E02001335,3
E02001336,0
E02001337,0
E02001338,0
E02001339,0
E02001340,0
E02001341,0
E02001342,0
E02001343,0
E02001344,0
E02001345,1
E02001346,0
E02001347,2
E02001348,2
E02001349,0
E02001350,2
E02001351,13
E02001352,0
E02001353,0
E02001354,0
E02001355,0
E02001356,0
E02001357,0
E02001358,0
E02001359,0
E02001360,0
E02001361,0
E02001362,0
E02001363,2
E02001364,0
E02001365,0
E02001366,0
E02001367,0
E02001368,0
E02001369,2
E02001370,2
E02001371,0
E02001372,4
E02001373,13
E02001374,9
E02001375,7
E02001376,0
E02001377,3
E02001378,0
E02001380,1
E02001381,0
E02001382,1
E02001383,20
E02001384,0
E02001385,0
E02001386,0
E02001387,0
E02001388,6
E02001389,0
E02001390,2
E02001391,0
E02001392,0
E02001393,0
E02001394,0
E02001395,2
E02001396,18
E02001397,0
E02001398,2
E02001399,0
E02001400,0
E02001401,0
E02001402,2
E02001403,6
E02001404,1
E02001405,1
E02001406,0
E02001407,0
E02001408,0
E02001409,0
E02001410,4
E02001411,0
E02001412,0
E02001413,0
E02001414,0
E02001415,1
E02001416,0
E02001417,1
E02001418,2
E02001419,6
E02001420,5
E02001421,2
E02001422,0
E02001423,0
E02001424,5
E02001425,0
E02001426,0
E02001427,0
E02001428,0
E02001429,0
E02001430,0
E02001431,0
E02001432,1
E02001433,0
E02001434,0
E02001435,0
E02001436,6
E02001437,0
E02001438,0
E02001439,0
E02001440,0
E02001441,1
E02001442,0
E02001443,0
E02001444,2
E02001445,0
E02001446,0
E02001447,0
E02001448,2
E02001449,0
E02001450,0
E02001451,0
E02001452,0
E02001453,0
E02001454,0
E02001455,5
E02001456,1
E02001457,0
E02001458,0
E02001459,0
E02001460,2
E02001461,0
E02001462,0
E02001463,1
E02001464,0
E02001465,0
E02001466,0
E02001467,8
E02001468,4
E02001469,0
E02001470,1
E02001471,3
E02001472,0
E02001473,4
E02001474,4
E02001475,0
E02001476,1
E02001477,5
E02001478,1
E02001479,0
E02001480,13
E02001481,2
E02001482,4
E02001483,0
E02001484,0
E02001485,0
E02001486,0
E02001487,0
E02001488,0
E02001489,0
E02001490,0
E02001491,9
E02001492,1
E02001493,0
E02001494,0
E02001495,0
E02001496,2
E02001497,0
E02001498,0
E02001499,0
E02001500,0
E02001501,0
E02001502,0
E02001503,2
E02001504,0
E02001505,8
E02001506,0
E02001507,0
E02001508,0
E02001509,1
E02001510,0
E02001511,0
E02001512,1
E02001513,0
E02001514,0
E02001515,0
E02001516,2
E02001517,1
E02001518,0
E02001519,0
E02001520,2
E02001521,7
E02001522,0
E02001523,2
E02001524,0
E02001525,0
E02001526,0
E02001527,1
E02001528,0
E02001529,0
E02001530,2
E02001531,1
E02001532,5
E02001533,0
E02001534,0
E02001535,0
E02001536,0
E02001537,0
E02001538,4
E02001539,0
E02001540,0
E02001541,5
E02001542,0
E02001543,0
E02001544,1
E02001545,0
E02001546,2
E02001547,0
E02001548,1
E02001549,0
E02001550,1
E02001551,0
E02001552,1
E02001553,1
E02001554,0
E02001555,0
E02001556,0
E02001557,0
E02001558,0
E02001559,1
E02001560,3
E02001561,0
E02001562,1
E02001563,3
E02001564,0
E02001565,5
E02001566,3
E02001567,0
E02001568,0
E02001569,0
E02001570,0
E02001571,1
E02001572,0
E02001573,0
E02001574,0
E02001575,1
E02001576,0
E02001577,0
E02001578,2
E02001579,4
E02001580,2
E02001581,2
E02001582,0
E02001583,0
E02001584,0
E02001585,2
E02001586,0
E02001587,2
E02001588,0
E02001589,0
E02001590,0
E02001591,2
E02001592,0
E02001593,0
E02001594,18
E02001595,5
E02001596,0
E02001597,1
E02001598,1
E02001599,0
E02001600,1
E02001601,0
E02001602,0
E02001603,0
E02001604,5
E02001605,0
E02001606,2
E02001607,2
E02001608,4
E02001609,0
E02001610,4
E02001611,0
E02001612,0
E02001613,0
E02001614,0
E02001615,1
E02001616,0
E02001617,0
E02001618,0
E02001619,4
E02001620,0
E02001621,0
E02001622,0
E02001623,0
E02001624,0
E02001625,0
E02001626,0
E02001627,3
E02001628,2
E02001629,0
E02001630,0
E02001631,0
E02001632,3
E02001633,0
E02001634,0
E02001635,0
E02001636,1
E02001637,1
E02001638,0
E02001639,0
E02001640,0
E02001642,0
E02001643,0
E02001646,2
E02001647,0
E02001648,0
E02001649,0
E02001650,0
E02001651,0
E02001652,0
E02001653,0
E02001654,0
E02001655,0
E02001656,0
E02001657,0
E02001658,0
E02001659,0
E02001660,0
E02001661,2
E02001662,0
E02001663,1
E02001664,0
E02001665,0
E02001666,2
E02001669,0
E02001670,0
E02001671,3
E02001672,0
E02001673,0
E02001674,1
E02001675,0
E02001676,0
E02001678,0
E02001679,0
E02001680,0
E02001681,0
E02001682,0
E02001683,0
E02001684,8
E02001685,0
E02001686,3
E02001688,13
E02001689,0
E02001690,12
E02001691,11
E02001692,0
E02001693,0
E02001694,2
E02001695,0
E02001696,3
E02001697,0
E02001698,0
E02001699,0
E02001700,0
E02001701,4
E02001702,0
E02001703,0
E02001704,0
E02001705,1
E02001706,4
E02001707,8
E02001708,7
E02001709,1
E02001710,10
E02001711,13
E02001712,2
E02001713,9
E02001714,4
E02001715,2
E02001718,1
E02001719,1
E02001720,0
E02001721,0
E02001722,0
E02001723,1
E02001724,0
E02001725,2
E02001726,0
E02001727,2
E02001728,2
E02001729,1
E02001730,31
E02001731,104
E02001732,0
E02001733,10
E02001734,0
E02001735,0
E02001736,3
E02001737,0
E02001738,0
E02001739,0
E02001740,6
E02001741,0
E02001742,0
E02001743,1
E02001744,0
E02001745,2
E02001746,0
E02001747,0
E02001748,10
E02001749,0
E02001750,6
E02001751,0
E02001752,7
E02001753,4
E02001754,0
E02001755,10
E02001756,1
E02001757,0
E02001758,1
E02001759,3
E02001760,1
E02001761,0
E02001762,0
E02001763,0
E02001764,0
E02001765,0
E02001766,3
E02001767,2
E02001768,17
E02001769,20
E02001770,0
E02001771,2
E02001772,0
E02001773,0
E02001774,13
E02001775,2
E02001776,2
E02001777,2
E02001778,1
E02001779,13
E02001780,1
E02001781,1
E02001782,2
E02001783,1
E02001784,1
E02001785,4
E02001786,0
E02001787,1
E02001788,1
E02001789,0
E02001790,5
E02001791,1
E02001792,5
E02001793,2
E02001794,0
E02001795,13
E02001796,6
E02001797,59
E02001798,5
E02001799,6
E02001800,3
E02001801,23
E02001802,0
E02001803,35
E02001804,0
E02001805,0
E02001806,10
E02001807,2
E02001808,4
E02001809,4
E02001810,1
E02001811,0
E02001812,4
E02001813,0
E02001814,7
E02001815,1
E02001816,1
E02001817,0
E02001818,2
E02001819,1
E02001820,0
E02001821,0
E02001822,4
E02001823,1
E02001824,2
E02001825,7
E02001826,2
E02001827,0
E02001828,0
E02001829,0
E02001830,0
E02001831,0
E02001832,0
E02001833,0
E02001834,0
E02001835,3
E02001836,2
E02001837,0
E02001838,1
E02001839,0
E02001840,0
E02001841,0
E02001842,0
E02001843,0
E02001844,0
E02001845,0
E02001846,0
E02001847,1
E02001848,0
E02001849,0
E02001850,0
E02001851,1
E02001852,0
E02001854,4
E02001855,2
E02001856,2
E02001857,0
E02001858,0
E02001859,0
E02001860,0
E02001861,0
E02001862,0
E02001863,0
E02001864,0
E02001865,0
E02001866,0
E02001867,0
E02001868,0
E02001869,0
E02001870,0
E02001871,0
E02001872,0
E02001873,1
E02001874,0
E02001875,5
E02001876,9
E02001877,0
E02001878,4
E02001879,0
E02001880,0
E02001881,0
E02001882,0
E02001883,1
E02001884,0
E02001886,0
E02001888,0
E02001889,0
E02001890,0
E02001892,0
E02001893,0
E02001895,0
E02001896,0
E02001897,1
E02001898,0
E02001899,0
E02001900,0
E02001901,2
E02001902,0
E02001903,0
E02001904,4
E02001905,7
E02001906,3
E02001907,0
E02001908,0
E02001909,0
E02001910,0
E02001911,0
E02001913,1
E02001914,0
E02001915,2
E02001916,0
E02001918,2
E02001919,0
E02001920,0
E02001921,1
E02001922,5
E02001923,0
E02001924,1
E02001925,1
E02001926,0
E02001927,0
E02001928,0
E02001929,0
E02001930,1
E02001931,2
E02001932,1
E02001933,0
E02001934,0
E02001935,0
E02001936,0
E02001937,0
E02001938,0
E02001939,1
E02001941,0
E02001942,0
E02001943,1
E02001944,0
E02001945,0
E02001946,2
E02001947,0
E02001948,0
E02001949,0
E02001950,6
E02001951,0
E02001952,0
E02001953,0
E02001954,0
E02001955,2
E02001956,1
E02001957,0
E02001958,30
E02001959,18
E02001961,2
E02001962,4
E02001963,22
E02001964,3
E02001965,3
E02001966,7
E02001967,0
E02001968,20
E02001969,28
E02001970,0
E02001971,6
E02001972,3
E02001973,14
E02001974,19
E02001975,13
E02001976,11
E02001977,31
E02001978,18
E02001979,8
E02001980,0
E02001981,5
E02001982,0
E02001983,55
E02001984,27
E02001985,19
E02001986,0
E02001987,18
E02001988,36
E02001989,0
E02001990,4
E02001991,17
E02001992,13
E02001993,3
E02001994,15
E02001995,4
E02001996,1
E02001997,0
E02001998,0
E02001999,2
E02002000,1
E02002001,0
E02002002,0
E02002003,2
E02002004,1
E02002005,1
E02002006,0
E02002007,0
E02002008,0
E02002009,0
E02002010,1
E02002011,3
E02002012,0
E02002013,0
E02002014,0
E02002015,3
E02002016,0
E02002017,0
E02002018,0
E02002019,0
E02002020,0
E02002021,6
E02002022,0
E02002023,0
E02002024,1
E02002025,0
E02002026,0
E02002027,3
E02002028,0
E02002029,1
E02002030,1
E02002031,0
E02002032,0
E02002033,1
E02002034,7
E02002035,0
E02002036,0
E02002037,0
E02002038,1
E02002039,0
E02002040,0
E02002041,0
E02002042,0
E02002043,5
E02002044,0
E02002045,0
E02002046,0
E02002047,1
E02002048,1
E02002049,0
E02002051,1
E02002052,0
E02002053,0
E02002054,0
