msoa,capacity
E02002191,9.30
E02002192,5.58
E02002193,9.30
E02002194,5.72
E02002195,5.42
E02002196,9.30
E02002197,5.58
E02002198,6.15
E02002199,5.71
E02002200,5.71
E02002201,10.81
E02002202,5.73
E02002203,5.71
E02002204,5.58
E02002205,7.92
E02002206,5.71
E02002207,4.84
E02002208,5.45
E02002209,5.45
E02002210,5.45
E02002211,5.73
E02002212,5.73
E02002213,5.33
E02002214,5.45
E02002215,5.73
E02002216,5.73
E02002217,5.77
E02002218,5.58
E02002219,5.73
E02002220,5.02
E02002221,5.77
E02002222,5.42
E02002223,5.68
E02002224,5.28
E02002225,5.33
E02002226,5.68
E02002227,6.99
E02002228,6.99
E02002229,5.67
E02002230,5.43
E02002231,5.64
E02002232,5.64
E02002233,7.98
E02002234,6.99
E02002235,6.99
E02002236,5.35
E02002237,5.36
E02002238,5.35
E02002239,7.47
E02002240,5.36
E02002241,5.36
E02002242,6.99
E02002243,5.63
E02002244,5.36
E02002245,4.91
E02002246,5.36
E02002247,5.52
E02002248,7.79
E02002249,7.79
E02002250,5.08
E02002251,7.79
E02002252,5.08
E02002253,7.79
E02002254,5.87
E02002255,7.79
E02002256,5.52
E02002257,7.79
E02002258,7.47
E02002259,7.79
E02002260,5.08
E02002261,5.87
E02002262,5.87
E02002263,3.75
E02002264,7.72
E02002265,5.52
E02002266,4.10
E02002267,3.37
E02002268,7.72
E02002269,7.43
E02002270,5.58
E02002271,7.47
E02002272,5.59
E02002273,7.47
E02002274,7.47
E02002275,7.47
E02002276,5.59
E02002277,5.59
E02002278,7.47
E02002279,7.47
E02002280,5.59
E02002281,5.59
E02002282,5.59
E02002283,5.59
E02002284,4.41
E02002285,7.47
E02002286,5.59
E02002287,5.04
E02002288,4.41
E02002289,5.04
E02002290,5.04
E02002291,7.47
E02002292,2.95
E02002293,5.04
E02002294,5.04
E02002295,4.78
E02002296,4.78
E02002297,5.85
E02002298,5.04
E02002299,5.82
E02002300,5.85
E02002301,5.56
E02002302,5.31
E02002303,5.85
E02002304,5.85
E02002305,5.31
E02002306,5.85
E02002307,5.31
E02002308,5.85
E02002309,5.85
E02002310,5.62
E02002311,5.70
E02002312,5.82
E02002313,5.82
E02002314,5.99
E02002315,5.70
E02002316,5.99
E02002317,5.70
E02002318,5.99
E02002319,5.70
E02002320,5.99
E02002321,6.15
E02002322,5.58
E02002323,5.99
E02002324,3.41
E02002325,5.99
E02002326,5.99
E02002327,5.91
E02002328,5.99
E02002329,5.99
E02002330,3.32
E02002331,3.32
E02002332,5.46
E02002333,6.19
E02002334,3.32
E02002335,5.60
E02002336,5.46
E02002337,6.19
E02002338,6.19
E02002339,5.34
E02002340,5.34
E02002341,5.60
E02002342,4.64
E02002343,5.34
E02002344,5.60
E02002345,4.64
E02002346,4.64
E02002347,4.19
E02002348,4.64
E02002349,5.71
E02002350,4.64
E02002351,5.60
E02002352,5.60
E02002353,5.60
E02002354,5.59
E02002356,5.65
E02002357,5.65
E02002358,5.71
E02002359,5.45
E02002360,5.59
E02002361,5.60
E02002362,5.65
E02002363,5.59
E02002364,5.71
E02002366,5.73
E02002367,5.59
E02002368,5.02
E02002369,5.73
E02002370,5.57
E02002371,5.59
E02002373,4.99
E02002374,5.65
E02002375,5.65
E02002376,5.73
E02002377,5.44
E02002379,5.73
E02002380,5.65
E02002381,4.89
E02002382,5.73
E02002383,5.85
E02002384,5.59
E02002385,5.85
E02002386,5.45
E02002387,4.89
E02002388,5.65
E02002389,5.73
E02002390,5.73
E02002391,4.19
E02002392,5.85
E02002393,5.44
E02002394,5.15
E02002395,5.02
E02002396,5.29
E02002397,5.29
E02002398,0.56
E02002399,5.44
E02002400,7.47
E02002401,1.90
E02002402,0.56
E02002403,4.14
E02002404,7.35
E02002405,5.02
E02002406,4.14
E02002407,5.29
E02002408,5.29
E02002409,5.38
E02002410,7.47
E02002411,7.47
E02002412,5.29
E02002414,7.35
E02002415,5.57
E02002416,4.66
E02002417,4.52
E02002418,4.14
E02002419,7.47
E02002420,5.57
E02002421,5.57
E02002422,5.48
E02002423,5.57
E02002424,5.48
E02002425,5.43
E02002426,4.66
E02002427,4.66
E02002428,5.57
E02002429,4.66
E02002430,5.34
E02002431,5.48
E02002432,4.02
E02002433,5.48
E02002434,5.34
E02002435,5.48
E02002436,5.34
E02002437,5.34
E02002438,4.52
E02002439,5.83
E02002440,5.16
E02002441,5.38
E02002442,5.16
E02002443,4.65
E02002444,4.65
E02002445,4.65
E02002446,3.23
E02002447,0.00
E02002448,4.52
E02002449,3.06
E02002450,5.54
E02002451,4.65
E02002452,3.06
E02002453,5.54
E02002454,5.57
E02002455,3.06
E02002456,4.65
E02002457,5.54
E02002458,5.68
E02002459,5.68
E02002460,3.06
E02002461,5.54
E02002462,5.68
E02002463,3.89
E02002464,0.00
E02002465,5.57
E02002466,5.68
E02002467,5.57
E02002468,5.68
E02002469,5.54
E02002470,4.13
E02002471,5.73
E02002472,5.68
E02002473,5.57
E02002474,2.75
E02002475,5.54
E02002476,3.25
E02002477,3.25
E02002478,5.79
E02002479,3.25
E02002480,5.79
E02002481,5.79
E02002482,5.79
E02002483,9.19
E02002484,9.19
E02002485,9.19
E02002487,9.19
E02002488,9.19
E02002489,9.19
E02002490,3.85
E02002491,3.85
E02002492,6.50
E02002493,6.50
E02002494,3.85
E02002496,7.99
E02002497,7.98
E02002498,7.21
E02002499,7.99
E02002500,3.12
E02002501,3.12
E02002502,7.98
E02002503,3.12
E02002504,3.12
E02002505,7.99
E02002506,3.12
E02002507,3.12
E02002508,3.12
E02002509,3.12
E02002510,3.12
E02002512,0.58
E02002513,3.12
E02002514,3.12
E02002515,5.48
E02002516,5.48
E02002517,5.48
E02002518,5.48
E02002519,5.48
E02002520,5.48
E02002521,5.48
E02002523,1.15
E02002524,5.15
E02002525,4.21
E02002526,5.15
E02002527,5.15
E02002529,7.98
E02002530,5.15
E02002532,7.98
E02002533,4.21
E02002534,5.48
E02002535,4.99
E02002536,7.99
E02002537,7.99
E02002538,7.99
E02002539,11.73
E02002540,7.51
E02002541,7.51
E02002542,0.00
E02002543,0.00
E02002544,7.99
E02002545,0.00
E02002546,7.96
E02002547,7.96
E02002548,11.73
E02002549,7.96
E02002550,7.96
E02002551,7.96
E02002552,7.96
E02002553,7.96
E02002554,7.92
E02002555,11.73
E02002556,11.73
E02002557,11.73
E02002558,11.73
E02002559,11.73
E02002560,5.71
E02002561,5.71
E02002562,5.71
E02002563,5.71
E02002564,5.71
E02002565,5.71
E02002566,6.54
E02002567,6.54
E02002568,3.87
E02002569,3.87
E02002570,6.54
E02002571,6.54
E02002572,3.87
E02002573,11.73
E02002652,5.81
E02002653,5.81
E02002654,5.56
E02002655,5.33
E02002656,4.03
E02002657,4.71
E02002658,5.33
E02002659,5.33
E02002660,5.65
E02002661,5.33
E02002662,5.33
E02002663,5.33
E02002664,9.45
E02002665,5.33
E02002666,9.45
E02002667,9.45
E02002668,5.05
E02002669,5.56
E02002670,4.61
E02002671,9.45
E02002672,5.05
E02002673,4.99
E02002674,4.46
E02002675,9.45
E02002676,5.56
E02002677,9.45
E02002678,5.56
E02002679,5.56
E02002680,9.45
E02002681,5.56
E02002682,5.56
E02002684,1.48
E02002685,1.48
E02002686,1.48
E02002687,1.48
E02002688,1.48
E02002689,5.22
E02002691,3.42
E02002692,4.63
E02002693,2.75
E02002694,4.63
E02002695,4.33
E02002696,3.42
E02002697,5.81
E02002698,4.63
E02002699,3.42
E02002700,3.42
E02002701,4.63
E02002702,3.42
E02002703,3.73
E02002704,4.56
E02002705,4.46
E02002706,5.33
E02002707,5.86
E02002708,5.33
E02002709,5.86
E02002710,4.46
E02002711,4.31
E02002712,3.91
E02002714,1.98
E02002715,5.86
E02002716,3.91
E02002717,5.31
E02002718,5.86
E02002719,5.31
E02002720,7.43
E02002721,7.43
E02002722,3.80
E02002723,4.46
E02002724,4.46
E02002725,4.46
E02002726,8.68
E02002727,5.47
E02002728,5.48
E02002729,4.85
E02002730,5.67
E02002731,5.47
E02002732,8.68
E02002733,4.87
E02002734,4.87
E02002735,5.67
E02002736,5.47
E02002737,5.67
E02002738,4.85
E02002739,5.67
E02002740,4.85
E02002741,5.47
E02002742,5.67
E02002743,5.67
E02002744,4.85
E02002745,5.43
E02002746,1.37
E02002747,5.43
E02002748,4.40
E02002749,4.68
E02002750,4.68
E02002751,5.80
E02002752,6.24
E02002753,2.67
E02002754,5.82
E02002755,5.80
E02002756,5.80
E02002757,2.67
E02002758,5.80
E02002759,6.24
E02002760,2.67
E02002761,6.24
E02002762,5.36
E02002763,5.36
E02002764,5.36
E02002765,5.36
E02002766,5.36
E02002767,5.36
E02002768,5.35
E02002769,5.36
E02002770,6.24
E02002771,1.29
E02002772,5.94
E02002773,5.94
E02002774,5.94
E02002775,3.88
E02002776,3.88
E02002777,4.67
E02002778,5.38
E02002779,6.01
E02002780,5.38
E02002781,6.01
E02002782,5.87
E02002783,5.87
E02002784,8.00
E02002785,6.01
E02002786,6.01
E02002787,5.87
E02002788,8.00
E02002789,5.87
E02002790,8.00
E02002791,6.01
E02002792,5.87
E02002793,5.87
E02002794,5.91
E02002795,4.87
E02004068,5.80
E02004106,5.90
E02004108,5.12
E02004109,5.80
E02004110,5.12
E02004290,7.45
E02004291,7.45
E02004292,7.45
E02004293,4.56
E02004294,4.56
E02004295,5.83
E02004296,6.69
E02004297,8.57
E02004298,8.57
E02004299,7.11
E02004300,8.57
E02004301,7.11
E02004302,7.11
E02004303,8.57
E02004304,8.57
E02004305,8.57
E02004306,8.57
E02004307,8.57
E02004308,5.61
E02004309,6.69
E02004310,6.69
E02004311,5.69
E02004312,6.69
E02004313,5.61
E02004314,10.61
E02004315,10.61
E02004316,6.69
E02004317,6.69
E02004318,10.61
E02004319,10.61
E02004320,5.88
E02004321,5.88
E02004322,5.88
E02004323,5.88
E02004324,5.88
E02004325,7.61
E02004326,7.61
E02004327,5.75
E02004328,7.61
E02004329,7.61
E02004330,5.75
E02004331,5.88
E02004332,0.00
E02004333,10.61
E02004334,5.69
E02004335,10.61
E02004336,10.61
E02004337,10.61
E02004338,10.61
E02004339,10.61
E02004340,10.61
E02004341,5.34
E02004342,5.34
E02004343,5.34
E02004344,6.45
E02004345,9.84
E02004346,6.90
E02004347,6.90
E02004348,9.84
E02004349,9.84
E02004350,10.61
E02004351,10.61
E02004352,10.61
E02004353,9.84
E02004354,9.84
E02004355,9.84
E02005240,3.50
E02005241,3.50
E02005242,3.50
E02005245,2.98
E02005247,2.98
E02005424,5.43
E02005425,3.42
E02005426,3.42
E02005427,3.42
E02005428,2.18
E02005430,1.93
E02005431,4.02
E02005432,3.42
E02005492,6.24
E02005493,4.75
E02005494,1.60
E02005495,7.25
E02005496,4.75
E02005497,4.75
E02005498,2.49
E02005499,0.28
E02005500,0.00
E02005702,2.24
E02005703,2.24
E02005704,6.52
E02005705,10.81
E02005708,1.42
E02005709,4.64
E02005710,0.58
E02005711,0.58
E02005712,4.64
E02005713,0.58
E02005714,5.81
E02005715,5.84
E02005716,7.72
E02005717,7.72
E02005718,7.72
E02005719,7.72
E02005720,6.52
E02005721,6.52
E02005722,6.52
E02005723,1.36
E02005724,1.36
E02005725,6.08
E02005726,6.50
E02005727,10.81
E02005728,10.81
E02005729,6.50
E02005730,10.81
E02005731,6.08
E02005732,8.57
E02005733,10.81
E02005734,2.77
E02005735,5.18
E02005736,2.77
E02005737,5.18
E02005738,2.66
E02005739,4.64
E02005740,4.64
E02005741,4.64
E02005743,3.50
E02005745,2.59
E02005746,4.92
E02005747,2.59
E02005748,3.50
E02005749,2.59
E02005750,4.21
E02005751,4.21
E02005752,11.73
E02005753,2.75
E02005754,3.79
E02005755,3.79
E02005756,2.75
E02005757,5.74
E02005758,5.94
E02005759,5.94
E02005760,5.94
E02005761,6.93
E02005762,0.00
E02005763,6.93
E02005764,6.93
E02005765,6.93
E02005766,6.93
E02005767,6.93
E02005768,6.93
E02005769,3.04
E02005770,6.93
E02005771,6.93
E02005772,3.04
E02005773,6.93
E02005774,0.00
E02005775,6.68
E02005776,5.83
E02005777,5.72
E02005778,6.93
E02005779,6.68
E02005780,6.68
E02005781,5.72
E02005782,6.90
E02005783,6.00
E02005784,6.00
E02005785,3.79
E02005786,6.00
E02005787,4.21
E02005788,5.35
E02005789,5.95
E02005790,5.35
E02005791,5.22
E02005794,5.94
E02005795,4.72
E02005796,5.15
E02005797,4.72
E02005798,5.95
E02005799,5.95
E02005800,6.10
E02005801,6.00
E02005802,6.10
E02005803,6.10
E02005804,6.10
E02005805,6.10
E02005806,6.10
E02005807,6.10
E02005808,5.22
E02005809,4.87
E02005810,5.43
E02005811,4.63
E02005812,5.43
E02005813,4.63
E02005814,4.63
E02005815,3.69
E02005816,4.63
E02005817,4.14
E02005818,5.73
E02005835,6.82
E02005836,2.49
E02005837,1.29
E02005838,5.53
E02006811,1.96
E02006812,7.98
E02006813,5.31
E02006814,5.31
E02006841,7.25
E02006842,7.25
E02006843,5.88
E02006844,9.94
E02006852,4.64
E02006861,5.59
E02006868,5.98
E02006869,3.18
E02006870,2.46
E02006872,5.63
E02006875,8.00
E02006876,7.35
E02006891,2.75
E02006892,2.75
E02006893,5.81
E02006909,9.19
E02006910,7.98
