MSOA,Name,index-of-transport-accessibility,ulev,estimated-parking-capacity,evhs,chargepoints,distribution-centres
E02001997,"Stivichall & Finham",0,1045.0,120.02,17.023,0,0.00
E02001998,"Finham Park",0,749.0,120.02,9.715,0,0.00
E02001999,"Cannon Park & University",0,1193.0,5927.36,17.565,2,0.00
E02002000,"Coseley Wallbrook",0,220.0,708.66,6.344,1,0.00
E02002001,"Sedgley East",0,311.0,385.73,14.502,0,0.00
E02002002,"Sedgley West",0,270.0,391.32,15.389,0,0.00
E02002003,"West Coseley",0,313.0,157.33,9.075,2,0.00
E02002004,"Woodsetton",0,218.0,0.00,11.144,1,0.00
E02002005,"Dudley Priory & Wrens Nest",0,236.0,6921.39,11.162,1,0.00
E02002006,"Upper Gornal & Ruiton",0,319.0,65.57,12.763,0,0.00
E02002007,"Lower Gornal & The Straits",0,225.0,111.11,19.173,0,0.00
E02002008,"Dibdale",0,336.0,326.30,7.577,0,0.00
E02002009,"Kates Hill",0,212.0,1357.62,6.367,0,0.00
E02002010,"New Dock & Eve Hill",0,319.0,1145.89,34.223,1,0.00
E02002011,"Kingswinford North",0,139.0,450.61,34.569,3,0.00
E02002012,"Russell's Hall",0,330.0,1250.64,6.209,0,0.00
E02002013,"Wall Heath",0,139.0,315.07,34.137,0,0.00
E02002014,"Dixons Green",0,212.0,1397.29,8.066,0,0.00
E02002015,"Pensett & Kingswinford East",0,257.0,301.39,11.882,3,0.00
E02002016,"Brockmoor & Woodside",0,330.0,313.27,7.313,0,0.00
E02002017,"Netherton",0,297.0,279.34,7.405,0,0.00
E02002018,"Kingswinford South",0,372.0,47.54,22.708,0,0.00
E02002019,"Dudley Wood & Saltwells",0,304.0,37.28,5.964,0,0.00
E02002020,"Wordsley & Buckpool",0,490.0,245.06,25.327,0,0.00
E02002021,"Brierley Hill",0,219.0,10033.19,18.726,6,0.00
E02002022,"Hawbush",0,351.0,140.52,17.446,0,0.00
E02002023,"Ashwood",0,233.0,0.00,11.100,0,0.00
E02002024,"Quarry Bank",0,415.0,1204.90,7.838,1,0.00
E02002025,"Shell Corner & Hurst Green",0,513.0,1055.62,67.955,0,0.00
E02002026,"Amblecote East",0,118.0,103.27,6.188,0,0.00
E02002027,"Withymoor Village",0,351.0,0.00,4.992,3,0.00
E02002028,"Wollaston",0,233.0,21.72,11.862,0,0.00
E02002029,"Quinton West",0,160.0,682.87,16.429,1,0.00
E02002030,"Amblecote West & Stambermill",0,547.0,756.69,20.578,1,0.00
E02002031,"Cradley West & Hayes Lane",0,522.0,85.56,26.086,0,0.00
E02002032,"Cradley East",0,404.0,233.31,19.668,0,0.00
E02002033,"Hawne",0,453.0,700.30,23.718,1,8685.07
E02002034,"Stourbridge Town & Old Quarter",0,490.0,866.04,97.392,7,0.00
E02002035,"Halesowen East",0,368.0,362.66,17.556,0,0.00
E02002036,"Lye & Wynall",0,367.0,291.72,30.823,0,0.00
E02002037,"Norton North",0,233.0,76.47,13.712,0,0.00
E02002038,"Halesowen Town",0,368.0,914.10,24.646,1,0.00
E02002039,"Oldswinford & Pedmore",0,429.0,1376.70,20.803,0,0.00
E02002040,"Norton South",0,490.0,443.79,19.229,0,0.00
E02002041,"Pedmore Fields",0,196.0,49.48,22.115,0,0.00
E02002042,"Hayley Green",0,368.0,21.31,16.539,0,0.00
E02002043,"Wood Green & Old Park",0,89.0,1862.62,6.959,5,0.00
E02002044,"Yew Tree & Tamebridge",0,232.0,288.19,19.610,0,0.00
E02002045,"Woods & Mesty Croft",0,151.0,1481.44,3.280,0,34309.01
E02002046,"Friar Park",0,89.0,184.29,1.699,0,0.00
E02002047,"Wednesbury",0,214.0,1334.82,6.365,1,0.00
E02002048,"Great Barr",0,73.0,460.16,15.166,1,0.00
E02002049,"Princes End & Willingsworth",0,309.0,271.13,4.862,0,0.00
E02002051,"Ocker Hill",0,125.0,287.66,4.768,1,0.00
E02002052,"Stone Cross & Hateley Heath",0,216.0,199.46,11.839,0,0.00
E02002053,"Hamstead East",0,147.0,142.54,9.098,0,0.00
E02002054,"Hamstead West",0,73.0,160.70,10.565,0,0.00
E02002055,"Wednesbury South",0,430.0,216.91,7.744,0,0.00
E02002056,"Tibbington",0,125.0,1084.20,8.814,0,0.00
E02002057,"Tipton",0,125.0,386.70,10.497,0,0.00
E02002058,"Great Bridge & Dudley Port",0,768.0,1217.37,16.823,0,0.00
E02002059,"West Bromwich North",0,216.0,2071.24,11.622,3,0.00
E02002060,"Greets Green West",0,768.0,1363.48,4.325,2,0.00
E02002061,"Greets Green East",0,216.0,4563.13,5.002,4,1280.55
E02002062,"West Bromwich East & Kenrick Park",0,250.0,1400.71,10.641,0,0.00
E02002063,"North Tividale",0,600.0,9349.81,11.502,0,6788.11
E02002064,"Tividale",0,535.0,856.76,7.523,0,0.00
E02002065,"Smethwick North & West",0,924.0,1838.91,5.057,0,0.00
E02002066,"Oldbury & Rood End",0,601.0,9619.64,23.541,0,216.49
E02002067,"Rowley West",0,620.0,273.62,8.845,0,0.00
E02002068,"Smethwick East",0,249.0,1071.98,0.169,0,0.00
E02002069,"Whiteheath",0,606.0,2624.62,7.978,0,0.00
E02002070,"Smethwick South",0,128.0,312.13,10.696,0,0.00
E02002071,"Rowley East",0,60.0,741.98,9.236,0,0.00
E02002072,"Langley Green",0,606.0,3040.88,10.183,2,0.00
E02002073,"Warley East",0,199.0,165.59,4.916,0,0.00
E02002074,"Warley West",0,126.0,1025.29,8.770,0,0.00
E02002075,"Blackheath",0,145.0,3823.55,15.657,2,0.00
E02002076,"Bearwood & Warley Woods",0,387.0,406.33,6.026,0,0.00
E02002077,"Old Hill",0,305.0,633.53,17.988,2,0.00
E02002078,"Warley South",0,126.0,80.56,7.708,0,0.00
E02002079,"Brandhall",0,131.0,455.63,10.655,0,0.00
E02002080,"Cradley Heath",0,293.0,765.93,12.619,0,0.00
E02002081,"Castle Bromwich West",0,68.0,321.11,7.971,0,0.00
E02002082,"Smith's Wood North",0,68.0,18.50,6.088,0,0.00
E02002083,"Castle Bromwich East",0,68.0,226.87,5.962,3,0.00
E02002084,"Smith's Wood South",0,1939.0,170.77,8.058,0,0.00
E02002085,"Kingshurst",0,1939.0,300.37,6.841,0,0.00
E02002086,"Chelmsley Wood West",0,1871.0,1408.86,13.604,1,0.00
E02002087,"Fordbridge",0,1871.0,436.79,7.589,0,0.00
E02002088,"Chelmsley Wood East",0,1871.0,365.37,10.512,0,0.00
E02002089,"Marston Green & Airport",0,4881.0,43947.07,16.809,10,0.00
E02002090,"Lyndon North",0,2641.0,141.95,16.300,0,0.00
E02002091,"Elmdon Park",0,2890.0,3386.04,30.366,5,0.00
E02002092,"Lyndon South",0,2435.0,369.68,29.046,1,0.00
E02002093,"Olton & Kineton Green",0,2910.0,397.67,25.105,2,0.00
E02002094,"Ulverley Green & Langley",0,8164.0,528.64,22.611,0,0.00
E02002095,"Elmdon Heath & Catherine-de-Barnes",0,7738.0,4341.84,41.554,2,0.00
E02002096,"Lode Heath",0,2733.0,1085.28,49.791,1,0.00
E02002097,"Meriden",0,8268.0,2757.96,46.766,0,0.00
E02002098,"Shirley East",0,624.0,345.26,27.812,4,0.00
E02002099,"Central Solihull & Sharmans Cross",0,2733.0,4990.56,183.988,9,0.00
E02002101,"Solihull Lodge",0,434.0,145.45,19.017,0,0.00
E02002102,"Blossomfield",0,624.0,4539.07,40.893,4,0.00
E02002103,"Shirley Heath",0,326.0,16.11,16.329,2,0.00
E02002104,"Monkspath North",0,624.0,604.12,22.810,0,0.00
E02002105,"Balsall Common",0,3275.0,2712.61,42.254,0,0.00
E02002106,"Knowle",0,5411.0,1161.38,140.680,2,0.00
E02002107,"Monkspath South",0,624.0,2139.66,18.216,6,0.00
E02002108,"Dorridge",0,5113.0,1413.64,69.518,2,0.00
E02002109,"Dickens Heath",0,5439.0,4829.84,56.691,8,0.00
E02002110,"Brownhills West & Clayhanger",0,143.0,1192.30,15.306,3,0.00
E02002111,"Brownhills",0,48.0,433.03,11.911,0,0.00
E02002112,"Pelsall North",0,95.0,72.60,6.066,1,0.00
E02002113,"Walsall Wood",0,223.0,884.70,16.601,0,0.00
E02002114,"Pelsall South",0,152.0,384.96,7.195,0,0.00
E02002115,"Little Bloxwich",0,95.0,306.42,7.928,0,0.00
E02002116,"Aldridge North",0,223.0,114.78,16.150,0,0.00
E02002117,"Bloxwich Central & North",0,167.0,499.23,8.653,0,0.00
E02002118,"Bloxwich North West",0,143.0,380.55,7.344,0,0.00
E02002119,"Shelfield",0,57.0,384.64,15.373,2,0.00
E02002120,"Ashmore",0,136.0,179.60,6.229,0,0.00
E02002121,"Blakenall North",0,95.0,812.84,7.290,0,0.00
E02002122,"Blakenall South",0,167.0,212.21,6.328,0,0.00
E02002123,"New Invention",0,136.0,82.81,7.521,0,0.00
E02002124,"Aldridge Central",0,175.0,2357.80,50.989,4,0.00
E02002125,"Rushall",0,232.0,706.75,18.891,0,0.00
E02002126,"Bloxwich South",0,167.0,334.55,5.289,0,0.00
E02002127,"Walsall Ryecroft",0,167.0,148.06,5.935,0,0.00
E02002128,"Short Heath East",0,120.0,94.17,6.181,0,0.00
E02002129,"Short Heath West",0,109.0,0.00,8.493,0,0.00
E02002130,"Leamore",0,72.0,125.85,1.949,0,0.00
E02002131,"Aldridge South",0,561.0,896.17,28.265,0,0.00
E02002132,"Bentley",0,72.0,6.04,1.769,0,0.00
E02002133,"Walsall North East",0,191.0,2312.67,17.756,1,0.00
E02002134,"Willenhall Park",0,149.0,375.65,9.217,0,0.00
E02002135,"Walsall West",0,134.0,2964.71,3.554,0,724.71
E02002136,"Willenhall Town",0,222.0,2603.26,7.226,1,0.00
E02002137,"Streetly North",0,504.0,124.60,40.771,2,0.00
E02002138,"Walsall East",0,157.0,530.02,5.028,0,0.00
E02002139,"Walsall Central",0,429.0,5005.76,41.227,1,0.00
E02002140,"Pleck",0,134.0,1354.61,2.605,1,0.00
E02002141,"Streetly South",0,329.0,251.92,39.623,0,0.00
E02002142,"Darlaston East",0,161.0,3523.91,4.378,3,0.00
E02002143,"Palfrey",0,62.0,2780.42,3.550,0,0.00
E02002144,"Walsall South East",0,230.0,340.70,18.797,0,0.00
E02002145,"Darlaston Central",0,89.0,172.08,3.747,0,0.00
E02002146,"The Delves",0,157.0,575.12,11.515,0,0.00
E02002147,"Darlaston West",0,246.0,496.63,5.409,1,0.00
E02002148,"Pheasey & Sutton Road",0,343.0,503.43,22.967,0,0.00
E02002149,"Bushbury",0,285.0,1520.72,10.146,1,0.00
E02002150,"Fordhouses",0,218.0,3226.69,5.840,0,0.00
E02002151,"Pendeford",0,99.0,733.34,8.911,0,0.00
E02002152,"Bushbury Hill",0,286.0,90.35,5.549,0,0.00
E02002153,"Ashmore Park",0,136.0,205.16,9.975,0,0.00
E02002154,"Oxley Park",0,218.0,1304.79,6.847,0,0.00
E02002155,"Low Hill",0,198.0,189.98,4.848,0,0.00
E02002156,"Wood End",0,286.0,0.00,9.269,1,0.00
E02002157,"Tettenhall North",0,304.0,918.72,19.051,1,0.00
E02002158,"Wednesfield North East",0,245.0,213.20,18.524,0,0.00
E02002159,"Park Lane",0,198.0,318.14,5.613,0,0.00
E02002160,"Wednesfield Town",0,395.0,3532.47,15.957,0,0.00
E02002161,"Whitmore Reans & Dunstall Hill",0,536.0,3435.58,51.054,1,0.00
E02002162,"Tettenhall South",0,354.0,490.14,20.275,0,0.00
E02002163,"Heath Town",0,754.0,2928.56,38.791,0,0.00
E02002164,"Waterloo Road",0,259.0,1248.87,4.899,3,0.00
E02002165,"West Park",0,346.0,1016.48,13.207,1,0.00
E02002166,"East Park",0,159.0,1015.27,0.376,1,0.00
E02002167,"Castlecroft",0,292.0,373.08,14.755,1,0.00
E02002168,"Wolverhampton Central",0,444.0,10486.38,22.949,7,0.00
E02002169,"Compton & Merryhill North",0,401.0,993.28,14.260,0,0.00
E02002170,"Bilston North West",0,156.0,51.48,3.976,0,0.00
E02002171,"Bilston North East",0,210.0,79.11,5.052,0,0.00
E02002174,"Bradmore",0,196.0,334.09,10.669,0,0.00
E02002175,"Bilston Lunt & Loxdale",0,200.0,530.24,15.858,0,0.00
E02002176,"Merryhill South",0,196.0,529.91,12.714,0,0.00
E02002177,"Ettingshall",0,309.0,2087.09,11.943,0,0.00
E02002178,"Goldthorn Park",0,301.0,566.89,12.316,0,0.00
E02002179,"Upper Penn",0,109.0,384.97,11.638,0,0.00
E02002180,"Ettingshall Park",0,109.0,105.07,10.552,0,0.00
E02002181,"Bradley",0,95.0,866.97,7.588,1,0.00
E02002182,"Woodcross",0,311.0,0.00,5.750,0,0.00
E02006805,"Holbrooks",0,223.0,755.72,6.171,0,0.00
E02006807,"Yardley Wood East",0,100.0,17.12,14.329,0,0.00
E02006808,"Shirley West",0,326.0,602.55,70.472,2,0.00
E02006809,"Handsworth Wood",0,205.0,339.15,11.275,0,0.00
E02006810,"Charlemont",0,121.0,575.76,12.064,0,0.00
E02006894,"Blakenhall",0,355.0,6478.27,10.277,7,0.00
E02006895,"Attwood Green & Park Central",0,359.0,979.66,10.224,1,0.00
E02006896,"Digbeth",0,474.0,4752.38,6.537,12,0.00
E02006897,"Five Ways North",0,345.0,2628.19,43.647,1,0.00
E02006898,"Ladywood - Summer Hill",0,331.0,1356.22,1.389,1,0.00
E02006899,"Central",0,665.0,4213.74,1.669,7,0.00
E02006900,"Bordesley",0,210.0,2690.59,3.501,3,347.95
E02006901,"Greet & Sparkhill South",0,416.0,652.28,3.578,0,0.00
