shortID,latitude,longitude,Slow,Fast,Rapid
01c77a5e,51.88042,0.88783,,2,
01cc3832,54.53816,-1.28901,,2,
01ccb68a,51.46207,-0.15325,1,,
01cdfc28,52.62798,-1.20215,,2,
01cfcd4f,51.50887,-0.15445,,2,
01d425b3,51.52754,-0.20092,1,,
01d5fe93,51.48742,0.00284,1,1,
01d78762,50.83118,-0.64038,,2,
01de5617,51.54418,-0.00697,,2,
01e38772,51.48801,-0.28715,1,1,
01e5405c,55.15311,-1.68630,2,,
01e79577,52.34424,-1.58916,,2,
01f2d6ac,53.43511,-2.88817,,2,
01f65203,51.51068,-0.15177,1,1,
01f6c1d0,52.17282,-0.65802,,2,
01f7bcbb,55.81863,-4.34298,,2,
02048c78,51.50947,-0.14487,,1,
0207e1d5,51.51029,-0.15552,,2,
020adb0a,51.53919,-0.17837,1,,
020b0788,51.78614,0.12489,,2,
020d0681,52.99970,-1.17440,,2,
020e763d,51.40572,-0.24124,,2,
020fb369,51.54783,-0.14509,,2,
02107ce8,50.95378,-1.21192,,2,
02122c23,51.45346,-0.14265,1,,
021817ac,52.76426,-1.22995,1,1,
021aa851,51.94764,-3.38821,,1,2
021ac3c0,53.59563,-2.29409,,1,
021bc6aa,51.45986,-0.41448,,2,
022898bb,54.73014,-6.23050,,2,
022bcf9a,51.48388,-3.17324,,,2
0230db48,53.23037,-0.54753,,1,1
0232cdfa,53.79133,-1.74855,,1,2
0236be6e,51.55177,-0.16726,1,1,
02404f0d,52.26923,-0.00955,,,3
02438b41,53.39493,-2.98016,1,,
02457142,55.06996,-3.60764,,1,
024b2cf9,54.86695,-1.41470,,1,2
024ffb78,51.46476,-0.15288,1,,
02521712,52.03894,-0.76402,,2,
0252c932,51.41851,-0.23379,1,1,
02567caa,50.79122,-3.64327,,,2
02581659,51.44646,-0.33275,1,,
0263b6f1,52.55036,-1.17796,,1,
026573d4,51.51942,-0.11893,1,,
02670672,53.38769,-2.59078,,2,
026ad0cf,51.79581,-3.81357,,2,
026b3b16,51.06344,-1.31133,,2,
027678c1,51.51039,-0.07441,1,1,
02795920,51.47210,-0.09422,1,,
027b0c86,56.46542,-4.31862,,,3
0282dd8a,51.52734,-0.09144,1,1,
028317b2,51.52662,-0.18535,1,,
02873a07,51.52602,-0.20143,1,,
0293fdf5,54.89294,-2.94988,,2,
02942082,51.70800,-0.61193,,2,
0296519c,51.48845,-0.38816,,,2
02978378,52.43898,-1.78757,,1,
029e23f1,50.83619,-0.20939,,2,
02a03f97,52.22985,0.26691,,2,
02a3ec63,51.57881,-0.09860,1,1,
02b09c21,55.78335,-4.42542,,2,
02b29353,51.45491,-0.16040,1,1,
02b5e904,51.49956,-0.22963,1,,
02bc414d,51.54208,-0.29766,,,3
02c1dd6a,51.48637,-0.13377,1,,
02c28595,51.48020,-0.32071,1,1,
02c5638d,53.80495,-1.54655,,2,
02c9065e,53.27495,-1.26530,,2,
02cdec5b,51.53756,-0.17135,1,,
02cef96c,51.41564,-0.15410,1,1,
02d4dfee,51.46870,-0.15124,1,,
02d72b70,54.71022,-6.09304,,2,
02d98e65,51.51767,-0.09492,1,1,
02d9ece9,51.53757,-0.10419,1,,
02db8e8e,50.91073,-1.40747,,1,
02e12611,54.98134,-1.56989,,2,
02e25de8,51.72087,0.52592,,2,
02e44424,53.79103,-1.54502,,2,
02e52a4c,52.95998,-1.06828,,,3
02e5b1b0,51.49156,-0.09394,1,,
02e8ca2a,54.68612,-1.20403,,1,
02ec95b7,52.04922,-0.72417,,,3
02ed9c2c,51.51117,-0.23029,1,,
02f74a37,53.75934,-2.71851,,1,
02fdc882,52.40800,-1.55175,1,,
02fe7cd5,52.40575,-1.53475,1,,
03010f7d,51.53268,-0.20479,,1,
03037043,51.54604,-0.13409,,2,
0304234e,51.41600,-0.23092,1,1,
0306b6a2,55.11950,-3.35318,,2,
0308b5c4,51.50424,-0.24879,1,,
030de59e,51.73777,-3.37815,,1,2
0318b289,51.53790,-0.32459,1,1,
031a2f22,54.68418,-1.21504,1,,
031affcb,51.46766,-0.20854,1,1,
031ddc59,52.95727,0.84956,,2,
03212b34,51.49574,-0.20198,1,,
03250ff7,51.55294,-0.46793,1,1,
032510b7,52.13796,-0.47325,,2,
03258e6c,50.90510,-1.40661,1,1,
0328d081,51.30658,-0.34294,,2,
03291051,53.80151,-1.53296,,2,
032b5257,53.25695,-2.90955,,,3
032ebdfb,54.93601,-1.37135,,1,
03334b9c,51.31260,-0.25342,,2,
03370171,51.39903,-0.24969,1,1,
0337b072,51.46384,-2.57590,,2,
0338ea89,53.01852,-1.30592,,2,
033a84ad,51.37590,-0.01589,,,2
033ca0eb,53.59975,-2.54712,,1,
0340da9e,51.52690,0.14730,1,1,
03416103,51.61528,-0.06399,,2,
0345d784,52.73947,0.41782,,2,
0347b068,52.89561,-1.19280,,2,
034902a7,55.88072,-3.16861,,,2
034d78d2,51.53081,-0.23684,1,1,
034f91cb,50.95970,-1.35800,1,,
035f7e35,51.41703,-0.20876,1,,
0365a5b6,52.96198,-1.26673,,,2
036d2d69,52.27338,-0.87453,,2,
036ec4b0,52.04290,-0.75303,,2,
036fa90d,51.47167,-0.25299,1,1,
0370e501,54.92164,-1.46631,1,1,
03787921,51.80802,0.63836,,2,
0379b869,52.41809,-1.54141,1,,
037c1548,51.49537,-0.17503,1,,
037cdf09,51.56901,-3.02172,,2,
037d0299,52.98580,-2.17357,,2,
037d4dc5,51.26914,-1.07439,,2,
0381c19f,54.34581,-7.63918,,2,
0383231a,53.99753,-2.33659,,2,
0384f941,51.51273,-0.15729,1,1,
0385463a,52.40737,-1.47724,1,,
0386ecbd,53.41432,-2.91222,1,,
038a2376,52.20840,-1.72890,1,1,
038b9f8f,51.37501,-0.20577,,2,
0398e75c,51.47006,-0.21085,,2,
03a8992c,51.51685,-0.17158,1,,
03af645c,52.61768,-0.28998,,,2
03b059d4,54.90846,-1.37930,,1,
03ba5d20,51.20010,-3.46221,,2,
03ba7d46,52.40202,-1.44115,,2,
03bd2ceb,54.58833,-5.93610,,2,
03c20a50,50.94866,-2.51461,,2,
03c28813,51.46199,-0.09907,1,,
03c33f0a,51.46629,-0.29702,1,,
03c39347,53.33801,0.26629,,2,
03cc0b73,51.47514,-0.12538,1,,
03cdda6a,51.51379,-0.19034,1,,
03cdfdeb,54.24831,-4.41339,,2,
03cea4ee,51.42779,-0.06507,1,1,
03d0bc11,51.50773,-0.13457,,1,
03d7a479,50.71257,-2.43878,,,2
03d87dbc,51.47862,-0.08821,1,,
03da11bc,51.49829,-0.24621,1,1,
03dbf445,51.76451,-0.22667,,2,
03df03e9,51.47282,-0.17604,1,1,
03e166c9,52.06532,-2.15732,,,2
03e25556,52.60917,-1.08424,,2,
03e45743,53.48226,-2.23123,,1,
03e881fb,52.41025,-1.45493,1,,
03ee341f,51.48331,-0.31364,1,1,
03ee6426,53.13430,-1.19823,2,,
03f1c2a4,51.45503,-0.09557,1,,
03f297d7,51.54910,-0.17011,1,,
03f396a3,54.94044,-1.62007,,1,
03f46dea,51.52669,-0.09897,1,,
03f53138,53.54851,-2.62833,,1,
03f732e8,52.24252,-0.91739,,2,
03f84bb2,51.46088,-0.20556,1,,
0400414f,56.37156,-3.84367,,,3
041075b4,52.41183,-1.52068,,1,
0414042b,52.66707,1.27426,,2,
0415089c,54.53826,-1.28901,,1,
041e05b3,53.08690,-2.42714,,2,
042237ea,55.04950,-1.45076,,1,
0422aa6c,51.45840,-0.15924,1,,
0424d201,54.71250,-6.21868,,2,
0424fa1d,51.41735,-0.18536,1,,
042a4b5e,54.20140,-2.60004,,,2
042a8bf1,53.12570,-2.86822,,2,
0431d029,53.71425,-1.63045,,2,
043555cb,51.52792,-0.17805,1,,
0436ce29,51.59604,0.22172,,,2
043d17e3,56.39066,-3.42657,,2,
04435704,51.48400,-3.16633,,,2
0443e13d,55.95488,-2.78098,,1,
0443e6bc,52.57949,-2.11184,,2,
0448ba33,51.39695,-0.08145,,2,
044a0fc9,53.96837,-1.15186,,,3
044b09dc,51.46987,-0.18413,1,1,
044cf1a8,51.42586,-1.03485,,,2
044d02ee,52.96699,-1.21764,,2,
044d5c64,51.87644,-0.38393,,2,
045020ae,54.97119,-1.60600,,1,
04514b98,53.53211,-2.20621,,2,
045d4fef,52.91741,-1.26239,,2,
0467100d,53.48340,-2.23620,,1,
04693e60,52.75435,-1.58262,,2,
046be44c,53.02513,-1.48403,,2,
046dd69e,51.51828,-0.15809,1,,
04716389,53.73592,-1.72358,,1,2
047267f3,57.47379,-4.22917,,1,
04730cc5,53.07224,-0.81297,,,2
0477dee9,51.51860,-0.14007,1,,
0478c122,52.61768,-0.28998,,,2
0479081e,51.44689,-0.33453,1,,
0479a503,51.40546,-2.59908,,,3
047ae781,53.56460,-2.87385,,1,
048333a7,60.15820,-1.14498,,2,
048574d6,54.94312,-1.47110,,,3
0485d471,52.96258,-1.06726,,2,
0490a34b,52.30813,-1.12140,,,2
0490e4a7,51.45331,-0.18303,1,,
04920136,51.62197,-1.28669,,2,
0493c439,51.45378,-0.13700,,2,
04967c6a,51.51487,-0.19666,1,,
0498a22b,52.41751,-4.06444,,1,
049d64bd,53.74964,-2.72858,,2,
049eac5a,52.52231,-1.99313,,2,
04a03012,51.42557,-0.29495,1,1,
04a0f17a,51.45821,-0.16809,1,,
04a3ccb7,54.89565,-2.89776,,,2
04a54c1c,51.43640,-0.16419,1,,
04aa0121,51.51619,-0.07159,,2,
04aadf6b,51.55992,-1.78946,,2,
04af62b7,52.43382,-1.52453,1,,
04b34118,51.48461,-0.20095,1,,
04b41678,55.94470,-4.56758,,2,
04b87e76,54.56086,-1.31141,,1,2
04b9894b,51.52027,-0.13760,2,,
04bae8c0,51.59263,0.03983,,2,
04bb417e,51.35771,-0.09867,,2,
04beac45,51.64850,-0.05990,,,3
04bf13cc,51.64317,-3.93218,,1,2
04c0e78a,52.56101,-1.82595,,2,
04c54f18,51.46553,-0.15679,1,1,
04cde52d,52.43082,-1.43492,,,2
04cfce8b,51.41463,-0.75160,,2,
04d6bb1b,51.51207,-0.23146,1,,
04d7652d,53.22445,-0.53886,2,,
04e0ad11,51.89885,-1.14740,,2,
04e37611,55.05116,-1.74415,,2,
04e874a9,51.47589,-0.03688,,,3
04ea07ec,55.93923,-3.05595,,2,
04eab508,51.58362,-0.34993,1,,
04f90b8c,52.43055,-1.51415,1,,
04faa8f9,51.42965,-0.20127,1,,
04fc43b7,51.58184,-0.50028,,,3
04fe0c1b,51.60002,-0.03930,1,,
04fe3a85,51.68457,-4.16215,,2,
05039260,51.54176,-0.04448,1,,
05041966,51.52605,-0.45871,,1,
0504b3f1,51.78457,-0.19610,,2,
05051978,53.06857,-1.25133,,2,
05117035,51.41833,-0.74923,,2,
0513c87b,51.74816,-1.23556,1,1,
0513e1a0,57.14949,-2.09855,,2,
05180a6e,52.43677,-1.89249,,2,
05199841,51.40174,-0.26264,1,,
051e0ef8,51.68065,-4.25138,,2,
051e30f5,51.46190,-0.01262,,2,
0520f274,52.20043,-1.75320,,,2
0522364c,50.83081,-0.14068,,2,
05228071,51.47253,-0.20909,,,8
05237ace,51.72100,0.17827,,,2
052b601a,54.24424,-0.77386,,1,
0530e5eb,52.68772,-2.02666,,1,2
05395897,53.60302,-2.84204,,1,
053c6d7f,50.83100,-0.12267,1,,
053d75d5,51.52846,-0.19827,1,,
053e2bcf,57.44044,-2.76673,,,2
053f2a25,55.58123,-1.65419,,,2
05418f30,51.53425,-0.16666,1,,
0548fe01,50.82931,-0.17076,1,,
054a8689,53.29549,-3.73025,,2,
055181f8,51.44526,-0.47357,,2,
0559109a,51.53374,-0.21753,1,,
055a8424,51.50259,-0.26383,1,,
055ab258,55.82321,-4.34286,,2,
055c7a42,51.49233,-0.20766,1,1,
055e31fa,52.04264,-0.74984,,2,
055f96e5,51.45453,-0.06968,1,1,
0562a071,52.75993,-0.36742,,2,
0562d2f7,51.46993,-0.21063,,2,
0563266e,51.41923,-0.14708,1,1,
0568b818,52.08807,-0.26452,,2,
056e2d09,53.59797,-1.45855,,2,
057780a9,54.56226,-1.29973,1,,
0577ae88,53.86594,-1.68438,,1,2
05813e65,51.51379,-0.23965,,2,
058555de,51.46119,-0.20929,1,,
05862ab7,52.95727,0.84956,,2,
058a4a63,50.84674,-0.13740,1,,
0591a2d0,51.37534,-0.01187,1,1,
05959582,51.52381,-0.18323,1,,
0595e586,51.39590,-1.31604,1,,
05984c54,51.51623,-0.21208,1,,
059c7856,51.42532,-0.20228,1,1,
059e83d6,53.78956,-1.58464,,1,2
059e95ce,51.49171,-0.19688,1,,
059f8a31,51.47212,-0.33549,1,1,
05a0eed5,52.03816,-0.75994,,2,
05a1e9ff,51.60408,-2.92141,,,2
05a22bc5,52.67337,-2.02470,,,2
05a48732,51.49203,-0.24671,1,,
05a4be7f,54.98998,-1.52759,1,,
05a9ca74,51.39807,-0.11644,,,2
05af152f,51.38520,-0.25492,1,,
05af5829,51.59287,0.24559,,2,
05b1e374,51.39458,-0.30956,1,,
05b52e6f,52.48394,-1.88458,,2,
05b575c0,51.31777,-0.30760,,2,
05b58079,57.14976,-2.09564,,2,
05b5c8b2,51.54904,-0.14593,1,1,
05b985fb,53.75681,-2.69741,,2,
05ba8519,51.65982,-0.40471,1,1,
05baedbc,52.67718,-2.03564,,2,
05bb4b2d,51.41137,-0.19195,,,3
05c09437,54.96977,-2.09503,,1,
05c0ae7c,52.58860,-0.72235,1,1,
05c49d8a,51.50143,-0.10649,1,,
05c4a81e,50.82487,-0.16729,1,,
05d5391c,53.14008,-1.55464,,2,
05d5b29c,51.50686,-0.21361,1,,
05da4a4e,51.46066,-0.17634,1,1,
05dcdacd,51.41878,-0.30377,1,,
05de265b,50.83611,-0.18690,1,,
05dfff5c,54.77706,-1.57395,,1,
05e6ea1c,53.44426,-2.38443,,1,
05e71e92,53.96315,-1.07179,,2,
05e87083,51.54373,-0.14409,1,,
05f16c26,52.27685,-1.54652,,2,
05f283a8,51.54455,-0.09159,1,,
05f4379f,53.79088,-2.70941,,2,
05f4e1a9,51.50098,-0.37655,1,,
05f84cb2,53.39606,-3.05411,,1,
05f85a92,51.15543,0.89971,,2,
06076bf3,52.90456,-1.17570,,2,
060905b8,53.40961,-2.16538,,1,
061573ca,51.54540,-0.00637,,4,
0618130d,51.50352,-0.10617,1,1,
061c7421,51.47543,-0.19229,1,,
061c8b43,51.50930,-0.15666,,2,
061dbbda,50.78132,-1.08268,1,,
0628d73f,51.36392,-0.19142,1,1,
062ab4de,51.52884,-0.18468,1,,
062b4765,51.47462,-0.01248,1,,
062cd45d,50.90517,-3.48046,,1,2
0633b7bb,51.42948,-0.13733,1,,
0634b340,51.49060,-0.20770,,,2
06398002,52.55431,-1.46622,,2,
06420e71,52.53297,1.05294,,,4
0642c3a9,51.53966,-0.08363,1,1,
06432a48,53.04987,-1.40792,,2,
0651279f,56.96408,-2.20839,,1,
06526bf4,53.79670,-1.55824,,2,
0652c520,51.47828,-0.08840,1,,
0659ef65,53.70727,-1.91047,,2,
065c39fa,57.17780,-2.15000,,,2
0660fc86,51.51347,-0.23464,1,1,
0661bc4c,53.54987,-1.48234,,1,2
06675234,51.68978,-0.41735,,2,
06679f5e,51.58105,-0.34805,,1,2
0672911f,51.54281,-0.16932,1,,
06755692,51.46687,0.05449,1,1,
0678da5f,51.45167,-2.60440,,2,
067d1992,52.46360,-1.66224,,2,
068076e5,51.58526,0.02342,1,,
0682ea9f,51.57343,-0.29540,1,1,
0683cb9c,54.99449,-1.43193,,2,
06851f10,55.86488,-4.27012,,2,
068fadf9,52.58380,-2.13880,,,2
069026dd,50.82173,-0.12999,1,,
069175e4,51.47800,-0.10141,1,,
0696fd21,51.54817,-0.02471,,2,
069ed006,50.73303,-2.75478,,,2
06a3a51f,54.89421,-1.36523,,2,
06a3f7b1,50.43165,-3.68274,,,3
06aac845,51.49679,-2.59303,,2,
06ab2835,54.85198,-1.83421,,1,
06ab2ddd,51.46965,-0.45287,,2,
06adc615,53.53844,-2.07147,,1,
06b1046d,51.46640,0.00972,1,1,
06b18d92,51.51584,-0.15816,1,,
06b5a771,51.49818,-0.17653,,2,
06b614fc,51.52681,-0.18458,1,,
06b77651,51.41509,-0.18579,1,,
06b80355,50.38787,-4.17432,,2,
06baf7a4,51.50373,-0.23577,1,1,
06bb5972,52.41113,-1.52424,,1,
06c00a25,51.64303,-3.93207,,2,
06ceca52,53.37853,-2.95558,1,,
06cfc3fd,51.44586,-0.18982,1,1,
06d13515,52.80022,-1.63467,,1,
06d2f727,57.53727,-2.46151,,1,
06d63722,54.90820,-1.37766,,,3
06d91fe1,50.61238,-3.40809,,2,
06e005e7,51.50048,-0.42554,,2,
06e1cf17,51.41930,-0.05491,1,1,
06e5b30a,52.91825,-1.47947,,2,
06e5f713,51.47961,-0.18833,1,,
06e71b23,54.90104,-1.40901,,1,
06ea9195,52.95628,-1.14646,,2,
06ebe5b3,50.83436,-0.18886,1,,
06f6692b,52.43115,-1.52927,1,,
06fd74ce,51.51790,-0.14567,1,1,
06ff12de,51.50243,-0.19468,,1,
070299e3,50.78830,-1.06311,1,,
0709f7fa,51.46196,-0.36173,1,1,
070ef5b8,51.53777,-0.21604,1,1,
071131ce,54.95196,-1.60290,1,,
07183248,54.96955,-2.09549,,,3
0722eb7a,53.80236,-1.54364,,1,
072bc6ce,50.69362,-3.51750,,2,
072f76c1,51.22671,-0.18334,,1,
072fe21c,50.90539,-1.40833,,1,
072fe95e,50.80280,-1.16642,,2,
073278bd,51.45550,-0.15808,1,,
073322f9,51.44083,-0.18333,1,,
0741580d,51.49770,-0.12644,1,1,
0746590f,52.28419,-1.53945,2,,
074df136,52.93912,0.48819,,,3
074e5f1f,50.95003,-0.14870,,2,
07556202,53.45905,-1.28827,,2,
07597536,51.47829,-0.38325,1,1,
075f98f1,53.14469,-4.27166,,,3
076430cd,51.51698,-0.37211,1,1,
076673b5,51.14079,0.26008,,,3
076b2ed8,52.61787,-1.11528,1,,
076ba05a,51.49792,-0.13629,2,,
07712928,51.48856,-0.26315,1,,
07773d00,53.41344,-3.04959,,1,
077faa4c,51.50704,-0.23863,1,,
078092d7,53.45209,-2.37071,,2,
07833479,51.58727,-2.99227,,,2
0785d902,50.79327,-1.12408,,2,
078a5fbd,51.48988,0.02769,,2,
078c1921,51.46996,-0.25526,1,,
078d2a12,51.70255,-0.03314,,2,
078dd1ee,53.72976,-0.57040,,1,2
078ec301,55.96382,-3.19727,,2,
0794ca9e,51.44091,-0.39192,1,1,
0794d307,51.68706,-0.22175,,,2
079982a5,52.48541,-0.68690,,2,
07a19e8c,51.47418,-0.19678,1,,
07a67ed4,51.45860,0.13301,,2,
07a7ad44,51.35574,-0.27528,,2,
07a841d9,51.20992,-1.51939,,1,2
07aa55ef,55.14478,-2.25389,,2,
07aa71f1,52.28637,-1.61180,,2,
07b12dca,53.46241,-2.23432,,1,
07b27252,51.49990,-0.15741,,2,
07b446b5,51.39077,-0.29901,,2,
07b4b01e,51.93917,-0.83025,,2,
07b71b1f,51.47524,-0.21365,1,,
07baf42d,51.48020,-0.32071,1,1,
07bba581,52.04259,-0.75983,,2,
07bed16f,56.47513,-3.04787,,2,
07c09ba3,53.40814,-2.93232,,1,
07c65274,51.40946,-0.97595,,,3
07c6e859,53.65608,-2.63158,,1,
07c781a7,51.39343,-0.30338,1,1,
07cbdad7,51.51054,-0.59005,,1,2
07cbebc1,55.82350,-4.44290,,1,
07d03b90,52.63625,-2.14013,,2,
07d1ff78,51.46258,-0.15577,1,,
07d47824,51.54783,-0.14509,1,1,
07db8d8b,54.68622,-1.20403,,1,
07eb14f7,52.33700,-2.05613,,,3
07ebd676,56.26960,-4.93329,,2,
07efc699,51.46504,-0.06473,1,,
07f32960,52.47559,-1.47376,,2,
07f3c2a5,55.49244,-3.69179,,,3
07f4dafb,55.14552,-2.25201,,1,
07f7b0f1,51.57097,-0.77039,1,,
07f8372e,51.52542,-0.19680,1,,
07faa339,53.69080,-0.44234,,2,
07fd3b1a,51.57819,0.02239,1,,
07fd62a6,51.52768,-0.28637,,1,
08027f32,58.97570,-2.96960,,2,
08084d9b,53.96606,-1.08393,,2,
080aa4b0,51.44694,-0.15007,1,1,
080c0e5c,51.52369,-0.17906,1,,
080e832c,51.46607,-0.29148,1,1,
08148d97,54.98648,-1.56032,,2,
08156415,52.93263,0.98599,,2,
0816d3a3,51.47392,-0.38975,1,1,
0818eea7,51.29610,-0.32833,,2,
08195be2,51.81465,-0.81650,,,3
081ac692,52.40700,-0.73427,,2,
081b26a8,55.84355,-4.47732,,2,
081b9d0f,53.40601,-1.35194,,,2
081d0ec2,51.41267,-1.51642,1,,
0820059b,53.95500,-0.97328,,,2
0820738e,51.45439,-0.33723,,2,
08209c91,52.04807,-0.82732,,,3
0823d86d,50.80090,-1.08750,1,1,
08244127,52.04460,-0.75691,,2,
082491c2,51.23757,-0.57974,,2,
0826d9cc,51.50154,-0.16495,1,,
0828cc07,55.84367,-4.42849,,2,
082eb1bb,51.57237,-0.00513,1,1,
083527cd,51.45713,-0.15578,1,,
08376f0e,51.49912,-0.19558,1,,
083b0d51,51.47374,-0.17013,1,,
0846e37d,50.81323,-0.10396,2,,
08473897,53.74575,-2.02061,,2,
084c752c,52.79130,1.25347,,,2
085d122b,51.44716,-0.15607,1,,
085f926d,51.48048,-0.20211,1,,
0866b954,52.40052,-1.52492,1,,
08682266,51.72897,0.45382,,2,
086b356d,53.77681,-1.57750,,,2
086c3137,56.08164,-3.39411,,1,
086db8e8,52.57919,-2.11294,,1,2
086f0e79,53.00464,-1.12867,2,,
0873c683,54.70200,-1.57847,,1,
0874d98b,51.48955,0.06715,,2,
0877de86,53.62202,-1.55018,,,2
08797c9a,53.39214,-2.59633,,2,
087b1413,54.97969,-1.61354,1,,
