MSOA11CD,Representative Charging Devices
E02000218,8.721
E02000219,12.936
E02000220,25.560
E02000221,15.398
E02000222,17.684
E02000223,6.316
E02000224,64.863
E02000225,7.124
E02000226,15.065
E02000227,15.344
E02000228,17.262
E02000229,6.962
E02000230,57.467
E02000231,42.112
E02000232,13.759
E02000233,29.067
E02000234,47.252
E02000235,34.287
E02000236,67.286
E02000237,33.741
E02000238,10.960
E02000239,13.753
E02000240,6.895
E02000241,34.150
E02000242,11.570
E02000243,17.267
E02000244,14.000
E02000245,6.020
E02000246,5.879
E02000247,8.664
E02000248,15.367
E02000249,12.096
E02000250,11.678
E02000251,7.936
E02000252,21.008
E02000253,8.030
E02000254,3.058
E02000255,47.834
E02000256,18.246
E02000257,35.256
E02000258,6.465
E02000259,5.076
E02000260,4.279
E02000261,10.969
E02000262,10.307
E02000263,16.020
E02000264,11.208
E02000265,22.241
E02000266,8.141
E02000267,18.616
E02000268,74.703
E02000269,14.759
E02000270,37.917
E02000271,10.151
E02000272,8.498
E02000274,7.291
E02000275,4.193
E02000276,9.636
E02000277,3.827
E02000278,5.945
E02000279,5.926
E02000280,23.368
E02000281,11.351
E02000282,5.399
E02000283,3.976
E02000284,17.363
E02000285,8.347
E02000286,21.698
E02000287,42.602
E02000288,9.389
E02000289,17.096
E02000290,7.555
E02000291,67.171
E02000292,9.572
E02000293,23.082
E02000294,4.318
E02000295,27.677
E02000296,86.977
E02000297,18.954
E02000298,80.712
E02000299,4.411
E02000300,3.100
E02000301,5.235
E02000302,18.330
E02000303,10.694
E02000304,23.285
E02000305,15.272
E02000306,5.500
E02000307,5.765
E02000308,21.409
E02000309,6.949
E02000311,11.653
E02000312,22.342
E02000313,5.539
E02000314,26.998
E02000315,7.344
E02000316,5.474
E02000317,2.704
E02000318,2.316
E02000319,5.722
E02000320,5.234
E02000321,2.130
E02000323,7.813
E02000324,4.165
E02000326,5.878
E02000327,1.902
E02000328,12.798
E02000329,1.652
E02000331,5.690
E02000332,2.132
E02000333,15.411
E02000334,10.811
E02000335,11.788
E02000337,17.104
E02000339,17.253
E02000340,74.292
E02000341,14.559
E02000342,13.832
E02000343,15.432
E02000344,13.835
E02000345,0.780
E02000346,1.592
E02000347,3.908
E02000348,0.676
E02000350,0.739
E02000351,1.407
E02000352,0.804
E02000353,1.201
E02000354,0.150
E02000355,0.000
E02000356,0.949
E02000357,0.514
E02000358,1.299
E02000359,0.314
E02000360,0.029
E02000361,0.878
E02000362,2.246
E02000363,2.447
E02000364,0.000
E02000365,2.310
E02000366,1.807
E02000367,1.719
E02000368,0.639
E02000369,3.211
E02000370,2.713
E02000371,4.408
E02000372,6.975
E02000373,1.567
E02000374,1.603
E02000375,8.636
E02000376,2.212
E02000377,2.009
E02000378,1.938
E02000379,2.508
E02000380,1.636
E02000381,2.970
E02000382,11.797
E02000383,11.438
E02000384,6.401
E02000385,2.189
E02000386,2.507
E02000387,1.855
E02000388,3.187
E02000389,2.209
E02000390,1.631
E02000391,2.616
E02000392,11.505
E02000393,1.481
E02000394,2.537
E02000395,2.211
E02000396,1.760
E02000397,5.100
E02000398,0.033
E02000400,15.696
E02000401,0.420
E02000402,0.000
E02000403,2.870
E02000404,2.344
E02000405,7.951
E02000406,1.770
E02000407,0.000
E02000408,0.000
E02000409,0.287
E02000410,50.507
E02000411,0.000
E02000412,4.533
E02000413,27.048
E02000414,0.000
E02000415,0.335
E02000416,19.659
E02000417,19.027
E02000418,5.285
E02000419,5.572
E02000420,0.000
E02000421,0.000
E02000422,0.000
E02000423,0.425
E02000424,4.377
E02000425,0.000
E02000426,39.505
E02000427,4.370
E02000428,0.443
E02000429,17.629
E02000430,7.314
E02000431,25.011
E02000432,1.191
E02000433,49.552
E02000434,96.151
E02000435,35.367
E02000436,24.983
E02000437,19.451
E02000438,29.123
E02000439,28.340
E02000440,31.477
E02000441,29.507
E02000442,22.606
E02000443,23.667
E02000444,19.050
E02000445,22.855
E02000447,12.185
E02000448,104.706
E02000449,12.156
E02000451,14.187
E02000452,109.576
E02000453,9.907
E02000454,28.434
E02000455,18.864
E02000456,6.547
E02000457,17.800
E02000459,17.011
E02000460,12.380
E02000461,12.123
E02000462,11.693
E02000463,8.756
E02000464,10.971
E02000465,11.899
E02000466,18.537
E02000467,29.222
E02000468,19.718
E02000469,7.888
E02000470,18.302
E02000471,12.408
E02000472,17.011
E02000473,31.612
E02000474,12.840
E02000475,42.189
E02000476,34.339
E02000477,29.155
E02000478,26.864
E02000479,23.261
E02000480,67.974
E02000481,28.522
E02000482,19.431
E02000483,73.410
E02000484,23.702
E02000485,27.477
E02000486,11.594
E02000487,56.824
E02000488,14.655
E02000489,14.938
E02000490,8.170
E02000491,14.675
E02000492,9.188
E02000493,14.641
E02000494,53.694
E02000495,113.899
E02000496,26.885
E02000497,38.505
E02000498,18.526
E02000499,26.584
E02000500,61.192
E02000501,24.014
E02000502,25.151
E02000503,16.887
E02000504,29.706
E02000506,23.727
E02000507,20.320
E02000508,27.714
E02000509,60.619
E02000510,24.491
E02000511,8.867
E02000512,16.321
E02000513,9.722
E02000514,9.352
E02000515,13.614
E02000516,6.897
E02000517,4.764
E02000518,9.301
E02000519,6.678
E02000520,29.884
E02000521,7.958
E02000522,9.487
E02000523,5.530
E02000524,12.218
E02000525,4.163
E02000526,11.805
E02000528,7.255
E02000529,8.069
E02000530,7.009
E02000531,27.208
E02000532,14.254
E02000533,12.528
E02000534,14.740
E02000535,8.730
E02000536,12.025
E02000537,7.483
E02000538,11.662
E02000539,14.607
E02000540,13.621
E02000541,8.819
E02000542,9.531
E02000543,43.248
E02000544,7.374
E02000545,27.286
E02000546,5.761
E02000547,13.639
E02000548,10.256
E02000549,9.652
E02000550,7.402
E02000551,25.413
E02000552,9.115
E02000553,6.677
E02000554,39.614
E02000555,3.309
E02000556,2.343
E02000557,3.554
E02000558,1.572
E02000559,2.861
E02000560,1.800
E02000561,2.577
E02000562,4.755
E02000563,1.434
E02000564,4.297
E02000565,2.205
E02000566,10.004
E02000567,3.452
E02000568,2.340
E02000569,3.508
E02000570,4.714
E02000571,3.104
E02000572,2.751
E02000573,11.861
E02000574,2.410
E02000575,0.000
E02000576,0.025
E02000577,0.099
E02000578,0.000
E02000579,0.189
E02000580,11.238
E02000581,3.583
E02000582,4.978
E02000583,4.765
E02000584,9.517
E02000585,3.313
E02000586,7.091
E02000587,19.186
E02000588,8.140
E02000589,2.179
E02000590,5.043
E02000591,0.933
E02000592,9.236
E02000593,1.178
E02000594,3.290
E02000595,7.911
E02000596,9.458
E02000597,4.127
E02000598,20.644
E02000599,22.936
E02000600,31.469
E02000601,31.621
E02000602,99.452
E02000603,13.859
E02000604,77.492
E02000605,21.971
E02000606,36.534
E02000607,19.843
E02000608,27.497
E02000609,22.792
E02000610,31.156
E02000611,24.918
E02000612,24.203
E02000613,15.502
E02000614,26.913
E02000615,24.749
E02000616,11.707
E02000617,16.059
E02000619,0.119
E02000620,0.283
E02000621,0.000
E02000622,1.025
E02000623,0.384
E02000624,1.821
E02000625,2.731
E02000626,1.857
E02000627,1.288
E02000628,4.901
E02000629,6.508
E02000630,21.103
E02000631,4.088
E02000632,5.551
E02000633,3.946
E02000634,6.643
E02000635,11.073
E02000636,6.909
E02000637,13.386
E02000638,3.589
E02000639,4.955
E02000640,8.832
E02000641,3.614
E02000642,23.143
E02000643,4.615
E02000644,5.372
E02000645,18.496
E02000646,52.121
E02000647,7.092
E02000648,5.540
E02000649,12.416
E02000650,10.968
E02000651,9.669
E02000652,7.108
E02000653,0.947
E02000654,0.278
E02000655,5.984
E02000657,2.588
E02000658,2.016
E02000659,5.248
E02000660,7.812
E02000661,38.943
E02000662,3.135
E02000663,1.925
E02000664,12.563
E02000665,9.341
E02000666,2.360
E02000667,2.635
E02000668,10.809
E02000669,3.463
E02000670,4.361
E02000671,12.248
E02000672,9.531
E02000673,12.347
E02000674,4.495
E02000675,17.245
E02000676,8.023
E02000677,25.078
E02000678,5.824
E02000679,32.824
E02000680,8.661
E02000681,6.083
E02000682,7.837
E02000683,12.203
E02000685,14.288
E02000686,5.982
E02000687,7.496
E02000689,12.836
E02000690,18.883
E02000691,11.642
E02000692,120.201
E02000693,13.968
E02000694,13.167
E02000695,3.037
E02000696,3.773
E02000697,17.728
E02000698,27.833
E02000699,14.967
E02000700,9.902
E02000701,4.250
E02000702,4.265
E02000703,11.589
E02000704,26.119
E02000705,6.224
E02000706,12.143
E02000707,3.451
E02000708,19.733
E02000709,10.731
E02000710,9.754
E02000711,17.489
E02000712,28.694
E02000713,11.453
E02000714,2.504
E02000715,2.461
E02000716,2.905
E02000717,10.598
E02000718,2.865
E02000719,8.339
E02000720,1.535
E02000721,3.110
E02000722,0.424
E02000723,3.540
E02000724,1.523
E02000725,0.000
E02000726,0.127
E02000727,1.552
E02000728,1.019
E02000729,0.586
E02000730,1.030
E02000731,1.713
E02000732,1.115
E02000733,0.000
E02000734,0.000
E02000735,0.000
E02000736,7.544
E02000737,2.101
E02000738,1.256
E02000739,0.000
E02000740,0.416
E02000741,0.023
E02000742,1.396
E02000743,1.051
E02000744,0.646
E02000745,2.027
E02000746,3.520
E02000747,4.356
E02000748,2.601
E02000749,2.228
E02000750,4.006
E02000751,101.333
E02000752,36.081
E02000753,24.231
E02000754,20.112
E02000755,14.566
E02000756,37.916
E02000757,49.876
E02000758,20.723
E02000759,28.128
E02000760,22.759
E02000762,15.490
E02000763,16.477
E02000764,21.652
E02000765,14.722
E02000767,18.522
E02000768,6.288
E02000769,14.957
E02000770,10.858
E02000772,10.392
E02000773,12.287
E02000774,10.035
E02000776,6.172
E02000777,4.689
E02000779,7.313
E02000780,113.674
E02000781,16.159
E02000782,7.412
E02000783,5.548
E02000784,37.998
E02000785,24.750
E02000786,80.477
E02000787,22.087
E02000788,27.543
E02000789,24.331
E02000790,13.705
E02000791,94.049
E02000792,22.034
E02000793,15.905
E02000794,63.298
E02000795,28.716
E02000796,18.721
E02000797,35.182
E02000798,26.369
E02000799,18.482
E02000800,21.754
E02000801,17.076
E02000802,25.040
E02000803,27.866
E02000804,55.385
E02000805,22.213
E02000806,61.354
E02000807,4.692
E02000808,4.687
E02000809,3.333
E02000810,4.758
E02000812,10.853
E02000813,3.910
E02000814,5.488
E02000815,1.181
E02000816,2.406
E02000817,2.342
E02000818,0.182
E02000819,0.925
E02000820,0.132
E02000821,0.586
E02000822,0.167
E02000823,1.052
E02000824,2.778
E02000825,3.029
E02000826,2.935
E02000827,11.380
E02000828,7.264
E02000829,2.151
E02000830,2.627
E02000831,3.165
E02000832,2.373
E02000833,4.557
E02000834,12.475
E02000835,3.096
E02000836,34.648
E02000837,23.253
E02000838,12.810
E02000839,64.096
E02000840,11.739
E02000841,12.540
E02000842,22.700
E02000843,14.463
E02000844,14.113
E02000845,55.896
E02000846,7.664
E02000847,27.785
E02000848,17.232
E02000849,11.953
E02000850,15.984
E02000851,74.661
E02000852,9.068
E02000853,8.661
E02000854,18.608
E02000855,27.481
E02000856,55.078
E02000857,30.052
E02000858,12.279
E02000859,16.006
E02000860,26.484
E02000861,18.323
E02000863,21.302
E02000864,0.289
E02000865,1.162
E02000866,0.029
E02000867,0.000
E02000868,6.114
E02000869,1.028
E02000870,0.846
E02000871,0.000
E02000872,1.149
E02000873,0.761
E02000874,0.793
E02000875,0.000
E02000876,0.923
E02000877,0.893
E02000878,1.617
E02000879,0.620
E02000880,2.912
E02000881,3.101
E02000882,2.203
E02000883,2.935
E02000884,1.697
E02000885,0.632
E02000886,2.919
E02000887,14.724
E02000888,1.047
E02000889,0.997
E02000890,1.018
E02000891,6.715
E02000893,2.137
E02000894,2.855
E02000895,17.538
E02000896,73.562
E02000897,19.646
E02000898,18.025
E02000899,17.294
E02000900,17.051
E02000901,23.381
E02000902,10.588
E02000903,2.268
E02000904,2.370
E02000905,2.022
E02000906,1.610
E02000907,3.140
E02000908,3.153
E02000909,2.473
E02000910,13.831
E02000911,3.353
E02000912,2.155
E02000913,2.848
E02000914,0.492
E02000915,14.672
E02000916,0.373
E02000917,0.762
E02000918,33.218
E02000919,2.858
E02000920,0.699
E02000921,10.988
E02000922,6.336
E02000923,2.957
E02000924,3.093
E02000925,2.053
E02000926,4.549
E02000927,1.605
E02000928,13.978
E02000929,2.335
E02000930,14.631
E02000931,2.612
E02000932,23.012
E02000933,55.983
E02000934,8.621
E02000935,7.383
E02000936,17.679
E02000937,3.666
E02000938,17.562
E02000939,4.868
E02000940,11.933
E02000941,47.672
E02000942,11.604
E02000943,22.329
E02000944,8.566
E02000945,11.111
E02000946,9.125
E02000947,10.646
E02000948,7.093
E02000949,7.646
E02000950,13.609
E02000951,2.323
E02000952,2.379
E02000953,3.741
E02000954,2.001
E02000955,1.944
E02000956,2.598
E02000957,13.066
E02000958,5.797
E02000959,7.934
E02000960,14.409
E02000961,12.506
E02000962,31.756
E02000963,0.604
E02000964,12.402
E02000965,3.811
E02000966,4.360
E02000967,3.012
E02000968,12.026
E02000969,3.301
E02000970,0.461
E02000971,2.170
E02000972,0.055
E02000973,3.474
E02000974,14.361
E02000975,3.721
E02000976,4.510
E02000977,0.000
E02000978,9.056
E02000979,1.431
E02000980,0.000
E02000981,0.000
E02000982,0.000
E02000983,0.000
E02000984,33.352
E02000985,20.333
E02000986,14.699
E02000987,22.031
E02000988,11.554
E02000989,17.213
E02000990,46.832
E02000991,10.638
E02000992,17.991
E02000993,12.069
E02000994,14.030
E02000995,11.385
E02000996,10.371
E02000997,25.254
E02000998,12.475
E02000999,77.559
E02001000,15.211
E02001001,8.595
E02001002,12.998
E02001003,12.518
E02001004,7.531
E02001005,19.529
E02001006,5.009
E02001007,7.747
E02001008,5.271
E02001009,9.905
E02001010,6.383
E02001011,22.291
E02001012,5.516
E02001013,12.234
E02001014,29.067
E02001015,12.163
E02001016,5.120
E02001017,14.643
E02001018,17.069
E02001019,40.718
E02001020,19.738
E02001021,23.591
E02001022,11.053
E02001023,12.268
E02001024,21.820
E02001025,11.796
E02001026,20.086
E02001027,73.922
E02001028,19.479
E02001029,17.298
E02001030,12.480
E02001031,11.574
E02001032,12.447
E02001033,11.622
E02001034,25.523
E02001035,10.249
E02001036,13.661
E02001037,23.845
E02001038,19.743
E02001039,21.466
E02001040,38.147
E02001041,13.278
E02001042,13.107
E02001043,9.414
E02001044,12.775
E02001045,5.583
E02001046,6.501
E02001047,5.031
E02001048,4.718
E02001049,6.242
E02001050,6.011
E02001051,6.373
E02001052,5.460
E02001053,10.320
E02001055,11.935
E02001056,2.481
E02001057,6.408
E02001059,0.089
E02001061,2.365
E02001062,13.417
E02001063,0.951
E02001064,6.711
E02001065,3.398
E02001066,4.336
E02001067,3.609
E02001068,5.547
E02001069,5.113
E02001070,4.416
E02001071,6.399
E02001072,4.982
E02001073,30.908
E02001074,4.750
E02001075,13.478
E02001076,25.505
E02001077,44.080
E02001078,10.410
E02001079,23.611
E02001080,9.651
E02001081,19.125
E02001082,28.858
E02001083,23.595
E02001084,28.588
E02001085,11.041
E02001086,23.676
E02001087,48.345
E02001088,9.351
E02001089,27.510
E02001090,6.349
E02001091,12.236
E02001092,13.215
E02001093,16.133
E02001094,10.842
E02001095,18.143
E02001096,7.537
E02001097,17.685
E02001098,11.540
E02001099,11.345
E02001100,12.889
E02001101,8.349
E02001102,9.519
E02001103,31.060
E02001104,4.615
E02001105,12.694
E02001106,11.919
E02001107,4.567
E02001108,2.543
E02001109,11.006
E02001110,28.576
E02001111,7.571
E02001112,8.560
E02001113,9.655
E02001114,11.686
E02001115,9.582
E02001116,9.728
E02001117,34.456
E02001118,9.856
E02001119,25.377
E02001121,6.543
E02001123,7.174
E02001124,6.031
E02001125,8.324
E02001126,3.551
E02001127,3.102
E02001128,6.806
E02001129,7.828
E02001130,3.522
E02001131,3.665
E02001132,23.529
E02001133,13.628
E02001134,13.889
E02001135,9.618
E02001136,17.021
E02001137,13.316
E02001138,15.056
E02001139,14.498
E02001140,12.883
E02001141,63.435
E02001142,9.558
E02001143,12.472
E02001144,8.100
E02001145,8.548
E02001146,25.309
E02001147,13.964
E02001148,21.425
E02001149,20.897
E02001150,10.705
E02001151,13.009
E02001152,20.072
E02001153,24.318
E02001154,12.819
E02001155,29.404
E02001156,11.540
E02001157,22.181
E02001158,19.259
E02001159,25.031
E02001160,21.511
E02001161,9.628
E02001162,10.686
E02001163,39.085
E02001164,10.870
E02001165,45.714
E02001166,8.376
E02001167,8.593
E02001168,20.280
E02001169,41.627
E02001170,34.658
E02001171,6.489
E02001172,19.331
E02001173,8.993
E02001174,3.589
E02001175,8.036
E02001176,17.765
E02001177,5.024
E02001178,8.934
E02001179,4.721
E02001180,3.706
E02001181,7.682
E02001182,16.375
E02001183,9.501
E02001184,0.025
E02001185,24.715
E02001186,35.455
E02001187,7.220
E02001188,10.798
E02001189,13.717
E02001190,7.406
E02001191,19.577
E02001192,22.331
E02001193,30.465
E02001194,19.939
E02001195,50.226
E02001196,28.725
E02001197,35.569
E02001198,25.691
E02001199,24.984
E02001200,21.307
E02001201,6.600
E02001202,66.138
E02001203,25.746
E02001204,14.083
E02001205,14.898
E02001206,29.545
E02001207,17.669
E02001208,33.720
E02001209,14.323
E02001210,16.956
E02001211,27.396
E02001212,10.742
E02001213,26.019
E02001214,74.945
E02001215,43.283
E02001216,46.255
E02001217,56.814
E02001218,29.028
E02001219,25.098
E02001220,22.542
E02001221,24.928
E02001222,23.713
E02001223,31.881
E02001224,22.221
E02001225,32.496
E02001226,20.639
E02001227,22.510
E02001228,74.315
E02001229,23.193
E02001230,3.735
E02001231,13.906
E02001232,5.115
E02001233,5.836
E02001234,4.863
E02001235,5.835
E02001236,12.849
E02001237,13.164
E02001238,18.007
E02001239,15.125
E02001240,9.660
E02001241,31.075
E02001242,6.679
E02001243,26.354
E02001244,7.330
E02001245,14.788
E02001246,7.408
E02001247,9.623
E02001248,15.516
E02001249,17.582
E02001250,8.822
E02001251,10.659
E02001252,7.947
E02001253,7.041
E02001254,8.369
E02001255,12.973
E02001256,36.000
E02001257,21.334
E02001258,9.807
E02001259,13.896
E02001260,28.131
E02001261,16.616
E02001262,7.594
E02001263,27.772
E02001264,14.028
E02001265,23.822
E02001266,12.063
E02001267,52.791
E02001268,23.702
E02001269,27.812
E02001270,63.619
E02001271,24.413
E02001272,31.517
E02001273,120.903
E02001274,37.459
E02001275,0.437
E02001276,22.129
E02001277,31.668
E02001278,29.031
E02001279,30.279
E02001280,44.804
E02001281,37.459
E02001282,194.252
E02001283,88.579
E02001284,55.795
E02001285,62.698
E02001286,65.599
E02001287,19.386
E02001288,30.098
E02001289,26.339
E02001290,13.207
E02001291,22.729
E02001292,9.845
E02001293,12.901
E02001294,68.050
E02001295,9.521
E02001296,16.848
E02001297,11.565
E02001298,19.240
E02001299,21.644
E02001300,18.290
E02001301,27.248
E02001302,13.558
E02001303,29.208
E02001304,24.664
E02001305,13.532
E02001306,9.379
E02001307,16.866
E02001308,22.187
E02001309,35.675
E02001310,20.480
E02001311,30.530
E02001312,13.916
E02001313,12.135
E02001314,13.346
E02001315,28.977
E02001316,17.754
E02001317,14.275
E02001318,16.540
E02001319,13.922
E02001320,12.066
E02001321,15.466
E02001322,15.966
E02001323,18.623
E02001324,28.393
E02001325,30.988
E02001326,24.495
E02001327,10.670
E02001328,9.367
E02001329,14.394
E02001330,12.109
E02001331,24.547
E02001332,3.901
E02001333,40.036
E02001334,10.571
E02001335,18.332
E02001336,11.931
E02001337,11.359
E02001338,8.693
E02001339,14.259
E02001340,14.569
E02001341,19.180
E02001342,24.797
E02001343,22.945
E02001344,13.577
E02001345,10.286
E02001346,18.266
E02001347,9.587
E02001348,9.393
E02001349,9.697
E02001350,13.105
E02001351,17.947
E02001352,8.145
E02001353,17.949
E02001354,5.928
E02001355,2.621
E02001356,9.788
E02001357,5.687
E02001358,2.299
E02001359,12.607
E02001360,5.144
E02001361,1.847
E02001362,11.888
E02001363,13.062
E02001364,0.951
E02001365,1.355
E02001366,4.331
E02001367,43.783
E02001368,1.141
E02001369,0.045
E02001370,0.045
E02001371,8.165
E02001372,12.101
E02001373,6.018
E02001374,0.356
E02001375,4.653
E02001376,0.047
E02001377,0.055
E02001378,6.392
E02001380,13.283
E02001381,6.791
E02001382,22.316
E02001383,0.000
E02001384,22.958
E02001385,0.043
E02001386,23.554
E02001387,24.410
E02001388,17.236
E02001389,4.175
E02001390,0.000
E02001391,1.929
E02001392,18.528
E02001393,29.037
E02001394,33.163
E02001395,45.735
E02001396,4.387
E02001397,40.201
E02001398,14.294
E02001399,15.104
E02001400,15.203
E02001401,16.614
E02001402,23.641
E02001403,15.848
E02001404,12.516
E02001405,8.622
E02001406,26.845
E02001407,11.695
E02001408,10.881
E02001409,18.616
E02001410,19.330
E02001411,10.438
E02001412,12.915
E02001413,16.473
E02001414,7.102
E02001415,16.203
E02001416,9.455
E02001417,33.631
E02001418,36.320
E02001419,24.783
E02001420,27.379
E02001421,11.425
E02001422,9.668
E02001423,10.712
E02001424,25.441
E02001425,16.564
E02001426,15.056
E02001427,22.963
E02001428,17.993
E02001429,14.226
E02001430,13.549
E02001431,15.327
E02001432,46.966
E02001433,12.707
E02001434,14.903
E02001435,18.578
E02001436,68.631
E02001437,28.002
E02001438,13.462
E02001439,13.103
E02001440,15.616
E02001441,27.471
E02001442,48.027
E02001443,21.435
E02001444,27.728
E02001445,24.600
E02001446,19.159
E02001447,20.342
E02001448,32.650
E02001449,31.363
E02001450,31.953
E02001451,5.868
E02001452,11.148
E02001453,25.323
E02001454,17.873
E02001455,11.027
E02001456,18.376
E02001457,9.426
E02001458,28.561
E02001459,5.139
E02001460,8.967
E02001461,6.635
E02001462,9.498
E02001463,7.901
E02001464,4.320
E02001465,12.216
E02001466,4.502
E02001467,13.389
E02001468,10.558
E02001469,12.017
E02001470,10.753
E02001471,3.114
E02001472,12.043
E02001473,12.280
E02001474,3.346
E02001475,12.316
E02001476,2.764
E02001477,11.445
E02001478,20.657
E02001479,21.438
E02001480,52.555
E02001481,14.640
E02001482,11.830
E02001483,14.461
E02001484,27.254
E02001485,16.545
E02001486,25.332
E02001487,8.449
E02001488,12.617
E02001489,22.014
E02001490,26.411
E02001491,15.532
E02001492,49.509
E02001493,9.507
E02001494,48.147
E02001495,7.504
E02001496,11.105
E02001497,29.917
E02001498,18.610
E02001499,26.560
E02001500,30.210
E02001501,21.744
E02001502,26.177
E02001503,62.368
E02001504,24.917
E02001505,18.663
E02001506,60.904
E02001507,14.042
E02001508,17.403
E02001509,9.141
E02001510,8.231
E02001511,9.545
E02001512,30.222
E02001513,27.213
E02001514,16.096
E02001515,11.677
E02001516,11.594
E02001517,10.672
E02001518,26.881
E02001519,9.334
E02001520,37.844
E02001521,53.391
E02001522,18.811
E02001523,9.823
E02001524,37.468
E02001525,8.311
E02001526,5.859
E02001527,24.514
E02001528,20.720
E02001529,11.752
E02001530,14.466
E02001531,21.884
E02001532,56.248
E02001533,13.706
E02001534,17.628
E02001535,37.339
E02001536,21.535
E02001537,16.975
E02001538,18.374
E02001539,5.631
E02001540,21.122
E02001541,11.293
E02001542,15.537
E02001543,10.001
E02001544,11.163
E02001545,21.422
E02001546,15.302
E02001547,12.472
E02001548,13.411
E02001549,13.298
E02001550,11.210
E02001551,10.275
E02001552,13.071
E02001553,10.308
E02001554,11.944
E02001555,10.763
E02001556,7.151
E02001557,7.631
E02001558,14.771
E02001559,13.411
E02001560,52.772
E02001561,10.987
E02001562,14.849
E02001563,19.656
E02001564,38.194
E02001565,15.019
E02001566,23.090
E02001567,18.540
E02001568,12.121
E02001569,16.095
E02001570,9.253
E02001571,17.444
E02001572,6.521
E02001573,6.121
E02001574,13.090
E02001575,19.147
E02001576,31.492
E02001577,24.346
E02001578,18.657
E02001579,41.738
E02001580,15.181
E02001581,8.897
E02001582,11.764
E02001583,10.466
E02001584,9.860
E02001585,13.094
E02001586,8.863
E02001587,5.485
E02001588,8.149
E02001589,16.170
